branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.1531,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1522
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.488,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1752
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.7908,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1636
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.7701,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1542
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.9932,16384,2529140,55,1,0,1,0,14,1,2529195,2529194,16384,1,0,1690
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.4278,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,4,0,1430
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.155,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1360
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.3486,16384,2529140,55,1,0,1,0,14,1,2529195,2529194,16384,2,0,1488
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.4995,16384,2529140,55,1,0,1,0,26,1,2529195,2529194,16384,4,0,1356
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.561,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1364
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.4527,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1591
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.9563,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1698
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.1387,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1424
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.0492,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1700
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.873,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1747
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,32.0987,16384,2091886,49,1177,12,35,0,696,1147,2065995,2064841,16411,13,9,943
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,32.0565,16384,2431450,47,17,0,3,0,63,15,2422304,2422287,16385,5,0,1506
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,32.2048,16384,2528813,55,2,0,1,0,14,2,2528800,2528798,16384,1,0,1383
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.7146,16384,2516453,55,5,0,2,0,41,5,2513168,2513161,16385,2,0,1432
relaxedCompare,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,32.3743,16384,2516775,55,0,0,0,0,0,0,2512650,2512650,16384,1,0,1449
