branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.3757,10000,5873156,34330,58920,2719,20216,5138,443881,61639,5916740,5845844,11083,261397,49,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6035,10000,5882730,34848,68494,3237,21972,6889,518636,71730,5944237,5845845,11963,265099,86,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5781,10000,5874612,34767,60376,3156,19934,4974,440409,63531,5916002,5845848,11006,260244,88,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.52,10000,5877010,34351,62774,2740,21423,5830,480547,65514,5927710,5845846,11585,263679,98,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.665,10000,5874892,34199,60656,2588,21163,5378,470359,63244,5929093,5845846,11627,260938,67,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6221,10000,5880155,35181,65919,3570,21598,6352,486743,69489,5927552,5845847,11141,264475,59,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.539,10000,5877290,34567,63054,2956,20745,5757,472682,66010,5928628,5845844,11193,262766,72,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5121,10000,5871635,34429,57399,2818,20331,4487,437559,60217,5917430,5845844,11165,260146,70,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6307,10000,5865412,34703,51176,3092,19580,4644,419638,54266,5910597,5845847,11258,259219,78,144
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.3928,10000,5865137,33142,50901,1531,19436,3928,403584,52432,5910314,5845845,10977,259328,63,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9621,10000,5984094,34902,169859,3290,44548,13264,1011236,173131,6040413,5845842,11716,308108,181,149
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8959,10000,5967468,35192,153232,3581,45629,11675,983020,156809,6017623,5845760,11198,309534,234,151
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.1873,10000,6001878,35480,187652,3862,47272,15047,1086550,191504,6054211,5845748,11557,314279,219,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9739,10000,5982470,35318,168234,3707,46633,13987,1053344,171941,6045715,5845847,11698,311366,190,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9673,10000,5982443,34708,168207,3097,46545,12968,1028069,171296,6032579,5845813,11506,309291,205,148
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.1308,10000,6016404,35880,202168,4269,49179,16206,1145016,206437,6069449,5845847,11907,318513,229,149
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.213,10000,5993785,35761,179549,4150,46228,14620,1051205,183698,6047605,5845847,11531,311222,209,148
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.0023,10000,6018403,35228,204167,3617,49800,16287,1165033,207784,6070178,5845847,11408,319787,235,149
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.1052,10000,6011136,35054,196900,3443,51835,15294,1173865,200342,6072289,5845847,11752,318048,267,148
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9226,10000,5979586,35338,165350,3727,45461,13612,1016405,169077,6041931,5845847,11806,309075,221,148
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.0905193,10000,526589,300,77,0,3,1,45,23,26891,26814,10009,21423,44,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.0689245,10000,525827,257,22,0,2,0,31,1,26086,26064,10007,21419,17,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.090447,10000,526567,300,55,0,2,1,25,20,26869,26814,10008,21423,35,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.108337,10000,526550,300,84,0,3,1,54,28,26852,26768,10009,21424,13,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.0860273,10000,526171,271,64,0,3,1,62,24,26444,26380,10008,21426,13,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.105279,10000,526567,300,55,0,2,1,25,20,26869,26814,10008,21423,33,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.111545,10000,526567,300,55,0,2,1,25,20,26869,26814,10008,21423,33,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.120364,10000,526526,300,60,0,2,1,27,22,26828,26768,10008,21424,13,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.0879363,10000,526589,300,77,0,3,1,45,23,26891,26814,10009,21423,43,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,0.0985552,10000,526494,300,28,0,1,1,14,17,26796,26768,10007,21424,15,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,0.134476,10000,539633,343,199,5,4,0,99,82,39979,39774,10010,21586,85,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,0.120029,10000,538230,363,408,0,12,1,246,204,38596,38186,10015,21573,99,0
