branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3564,10000,6229507,20168,17977,572,4503,345,79634,18549,6251112,6231117,10262,107798,55,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.6714,10000,6236391,20036,24860,440,5464,638,103277,25300,6260588,6231127,10512,108984,70,152
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.535,10000,6238394,20902,26863,1306,5777,675,110014,28169,6262885,6231126,10364,109319,57,146
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.1318,10000,6228350,20213,16819,617,4569,359,81362,17436,6250752,6231127,10289,107836,60,144
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2723,10000,6225281,20274,13750,678,3735,248,64778,14428,6246733,6231124,10254,106908,44,153
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.5477,10000,6319103,20738,107572,1142,15215,2731,307495,108714,6342233,6231127,10256,122666,164,170
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,10.8972,10000,6289132,21136,77605,1541,13439,1959,257973,79144,6314474,6231105,10380,119348,141,153
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.3093,10000,6279932,20984,68401,1388,12705,1652,239438,69789,6306234,6231127,10588,117947,160,152
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0384,10000,6264618,20682,53087,1086,11254,1205,205013,54173,6289416,6231127,10340,115997,147,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0737,10000,6284119,20807,72588,1211,13256,1781,254076,73798,6310880,6231125,10431,118860,162,159
relaxedCompare,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.207598,10000,346562,233,239,9,13,3,287,165,96797,96549,10030,28218,0,0
relaxedCompare,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.218236,10000,346249,231,182,5,10,1,122,117,96482,96295,10029,28212,0,0
relaxedCompare,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.279177,10000,346681,245,366,13,18,2,360,245,96928,96549,10036,28225,1,0
relaxedCompare,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.23034,10000,347318,253,371,9,10,4,293,267,97573,97193,10029,28237,0,0
relaxedCompare,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.211882,10000,345699,248,79,1,7,2,139,62,95949,95869,10023,28204,0,0
relaxedCompare,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,0.358685,10000,397110,306,115,1,15,3,252,59,147434,147318,10062,28573,27,0
relaxedCompare,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,0.312886,10000,398331,342,979,37,15,16,379,719,148691,147675,10078,28595,38,0
relaxedCompare,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,0.332667,10000,398043,361,1421,57,31,18,821,1143,148420,146942,10072,28612,94,0
relaxedCompare,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,0.351739,10000,397691,313,984,31,19,15,538,714,148017,147002,10065,28609,23,0
