branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.349,16384,8520525,0,106,0,24,0,99,106,8520528,8520419,16386,24,0,1020
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,152.437,16384,8520845,0,426,0,51,2,262,426,8520845,8520419,16388,53,0,958
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,152.211,16384,8520602,0,183,0,37,0,177,183,8520601,8520419,16386,40,0,1077
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.183,16384,8520573,0,154,0,37,0,185,154,8520576,8520419,16387,37,0,1228
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,150.874,16384,8520432,0,13,0,7,0,28,13,8520432,8520419,16384,16,0,946
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,99.5368,16384,8524457,0,4038,0,283,78,1712,4038,8524459,8520419,16398,365,2,1132
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,103.385,16384,8535091,0,14672,0,328,355,3344,14672,8535180,8520419,16452,656,7,892
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,101.428,16384,8531954,0,11535,0,401,282,3264,11535,8532099,8520419,16446,635,19,1129
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,101.261,16384,8529760,0,9341,0,347,220,2780,9341,8529852,8520419,16435,533,17,1323
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,101.793,16384,8523989,0,3570,0,284,63,1668,3570,8523968,8520419,16399,351,2,1311
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.34,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,526
