branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.167,10000,6240394,0,9267,0,2279,174,40654,9267,6241818,6231127,10237,105188,2,267
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.9299,10000,6237863,0,6736,0,1966,117,33137,6736,6238774,6231127,10211,104782,2,268
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.2269,10000,6234568,0,3441,0,1161,69,20027,3441,6235352,6231127,10200,104008,0,262
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.2227,10000,6242961,0,11834,0,2637,300,49728,11834,6245438,6231127,10326,105643,0,268
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.2905,10000,6239818,0,8691,0,2148,174,38667,8691,6241063,6231127,10212,105094,1,264
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.27639,10000,6700287,0,469160,0,27117,15185,831352,469160,6737178,6231127,12221,155224,60,381
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.9085,10000,6662058,0,430931,0,24501,13562,747675,430931,6686046,6231127,11642,150376,45,394
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.18166,10000,6678674,0,447547,0,26399,14621,811619,447547,6721181,6231127,12376,153433,44,388
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.75173,10000,6625223,0,394096,0,25457,12720,738578,394096,6655529,6231127,11775,148979,47,385
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.71382,10000,6565020,0,333893,0,22565,10277,639680,333893,6574395,6231127,10602,142444,71,380
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.0585676,10000,314510,0,199,0,12,6,325,149,64510,64311,10014,28054,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.0582612,10000,314987,0,83,0,11,2,225,61,64987,64904,10015,28048,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.0575628,10000,314913,0,130,0,11,3,199,106,64913,64783,10015,28056,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.0588934,10000,314630,0,70,0,6,2,180,65,64630,64560,10009,28046,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,0.0602548,10000,315121,0,39,0,7,1,109,23,65121,65082,10014,28051,0,0
relaxedCompare,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,0.0966665,10000,346803,0,218,0,18,7,349,151,96807,96589,10038,28246,0,0
relaxedCompare,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,0.0858366,10000,346839,0,217,0,20,4,335,140,96842,96625,10043,28231,0,0
relaxedCompare,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,0.0851403,10000,347644,0,78,0,10,0,119,37,97647,97569,10030,28224,0,0
relaxedCompare,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,0.0960675,10000,347315,0,78,0,12,0,136,46,97320,97242,10031,28231,0,0
relaxedCompare,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,0.0846741,10000,347122,0,536,0,30,0,612,428,97123,96587,10039,28214,0,0
