branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.9937,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1528
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.94,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1630
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.1122,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1685
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.9028,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1685
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.9503,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1631
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.1105,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1422
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.1032,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1485
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.1785,16384,2529142,55,3,0,3,0,53,3,2529197,2529194,16384,6,0,1425
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.2843,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1426
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.152,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1429
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.3628,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1745
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.125,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1579
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.9735,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1632
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.2715,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1634
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,34.877,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1584
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.5445,16384,2529140,55,1,0,1,0,14,1,2529195,2529194,16384,1,0,1431
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.0941,16384,2529140,55,1,0,1,0,14,1,2529195,2529194,16384,2,0,1297
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.4259,16384,2529140,55,1,0,1,0,13,1,2529195,2529194,16384,7,0,1301
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.5054,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1233
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,31.1954,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1358
