branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5699,10000,5878067,33856,63831,2245,21735,5314,470334,66076,5927283,5845845,11189,263571,79,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,13.0557,10000,5902106,35096,87870,3485,24829,8246,610030,91355,5952298,5845847,11441,269395,78,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.8466,10000,5878826,34607,64590,2996,22039,6184,496269,67586,5932735,5845845,11408,263987,48,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6871,10000,5888511,35011,74274,3400,24292,7270,555140,77673,5943125,5845844,11654,268651,84,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.4515,10000,5870274,34432,56038,2821,20228,5339,447576,58859,5920331,5845845,11497,262017,86,143
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.8772,10000,5890601,35363,76365,3752,25078,6362,560969,80116,5943528,5845846,11612,267280,87,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.8312,10000,5890408,34415,76172,2804,24169,7048,563166,78974,5941652,5845848,11329,267368,93,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,13.2766,10000,5921122,37366,106886,5755,31333,9438,745414,112641,5979674,5845839,11528,278697,125,136
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5294,10000,5865014,33225,50778,1614,18689,4250,402218,52392,5909459,5845847,10905,257989,87,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.7038,10000,5885559,35083,71323,3472,24255,5640,526740,74795,5931668,5845844,11027,267324,83,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9833,10000,5999536,35040,185300,3429,47472,14363,1076840,188729,6053849,5845847,11313,313711,198,149
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.1017,10000,5975899,34518,161663,2907,44946,12410,986506,164570,6030962,5845847,11499,308037,190,149
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8172,10000,5969279,34464,155043,2853,43382,12548,978649,157894,6021759,5845838,11369,305806,235,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.1241,10000,6010794,35666,196558,4055,47412,15342,1096835,200613,6067473,5845847,11403,313909,192,149
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.7997,10000,5987713,35424,173477,3813,46631,12783,1016890,177280,6041883,5845829,11671,309629,217,151
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9623,10000,5992917,35660,178681,4049,49154,14816,1114789,182730,6055236,5845847,11638,314277,198,143
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.019,10000,5994791,35025,180555,3414,45667,14033,1035368,183969,6043224,5845847,11429,310006,233,152
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.1787,10000,6032937,35468,218697,3861,52792,17694,1234375,222543,6085155,5845737,11172,324953,250,152
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.995,10000,6009501,35993,195265,4382,49574,15475,1131127,199647,6062050,5845847,12206,316733,250,154
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.7849,10000,5949756,35687,135520,4076,40472,11333,880907,139596,6010389,5845847,12123,302128,224,150
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.7046,10000,5865919,33962,51683,2351,18378,5143,411971,54034,5921122,5845844,11247,259311,60,140
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.4281,10000,5855618,33783,41382,2172,16344,3094,334300,43554,5898597,5845844,10958,253959,61,137
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6694,10000,5896318,35162,82082,3551,24448,7881,579871,85633,5949069,5845847,11415,269476,84,138
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5733,10000,5891676,36091,77440,4480,25727,6054,578587,81920,5940211,5845847,10968,268906,51,139
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.6398,10000,5879552,34652,65316,3041,21277,5354,466958,68357,5927548,5845840,11204,262555,72,137
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5029,10000,5855228,33199,40992,1588,16995,3086,343889,42580,5898280,5845846,10933,256023,50,136
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.7156,10000,5891917,35740,77681,4129,24338,7287,561878,81810,5943354,5845847,11516,268298,57,140
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5527,10000,5880152,32657,65916,1046,22657,5595,500310,66962,5927412,5845847,10943,265498,81,141
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.7056,10000,5884800,34854,70564,3243,23435,5844,519823,73807,5934186,5845847,11238,265739,72,140
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.9598,10000,5926740,37203,112504,5592,32506,9901,768691,118096,5986131,5845847,11393,281877,135,136
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8674,10000,6003246,35482,189010,3871,47675,14401,1084208,192880,6051448,5845846,11229,314018,194,156
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.2446,10000,6003095,35540,188859,3929,48280,15830,1121301,192788,6073669,5845847,11625,316127,246,144
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.0599,10000,5978944,35180,164708,3569,43965,13031,983356,168277,6027804,5845847,11515,307814,207,144
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8869,10000,5975558,34902,161322,3291,42179,12900,958395,164613,6026228,5845847,11386,305943,161,155
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8575,10000,5973078,35346,158841,3735,43442,12448,965253,162559,6025413,5845840,11922,306051,182,146
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.2666,10000,6038913,35295,224677,3684,53002,17358,1246702,228356,6091137,5845822,11674,323337,224,144
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9313,10000,5962862,34347,148626,2736,41849,10989,910048,151362,6013155,5845847,11458,301405,190,146
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.2345,10000,5982541,34716,168305,3105,44768,13245,1004225,171410,6033780,5845847,11153,309845,235,146
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8692,10000,6003313,35034,189077,3423,48252,14421,1093426,192498,6055498,5845839,11699,312692,216,151
fossil_thread,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.3561,10000,6064184,35141,249948,3530,55667,18279,1318878,253477,6115722,5845843,11859,325429,270,148
