branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.5354,10000,6226964,20236,15433,640,4190,326,74003,16072,6249039,6231127,10285,107349,71,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.0073,10000,6225989,19938,14458,342,3758,262,66571,14800,6246420,6231127,10222,106914,51,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3521,10000,6236591,20132,25060,536,5287,717,101405,25596,6262517,6231127,10576,108895,61,151
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2825,10000,6234873,20573,23342,977,5489,508,100659,24319,6257765,6231125,10353,108843,62,156
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.219,10000,6229533,20098,18002,502,4184,343,74681,18504,6250298,6231124,10216,107556,43,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.5398,10000,6304117,21574,92587,1978,14625,2506,291603,94565,6332923,6231124,10677,120927,178,173
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.1758,10000,6306777,21300,95246,1704,15133,2446,299014,96950,6333228,6231127,10494,121842,127,156
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.3157,10000,6286684,20934,75153,1338,13087,1867,254282,76491,6312123,6231127,10415,118727,159,159
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,10.9704,10000,6273070,20717,61539,1121,11623,1429,221047,62660,6297726,6231127,10356,116832,139,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.5482,10000,6308106,21103,96575,1507,15374,2644,310433,98082,6339458,6231127,10720,122046,192,165
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4608,10000,6235469,20323,23938,727,4886,606,92754,24665,6258392,6231127,10355,108483,48,150
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.9174,10000,6229612,19967,18081,371,4608,379,80515,18452,6250954,6231127,10244,107982,71,150
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.405,10000,6234411,20908,22880,1312,5095,495,91993,24192,6255994,6231127,10204,108600,75,157
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.5034,10000,6234828,19970,23297,374,4752,611,92033,23671,6259154,6231123,10418,108340,47,150
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2736,10000,6232861,20086,21330,490,4829,477,89733,21820,6255122,6231126,10281,108403,55,148
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.1078,10000,6276325,20487,64794,891,11785,1509,219832,65685,6300081,6231127,10362,117018,117,159
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.312,10000,6290544,21074,79013,1478,13311,1950,260103,80491,6316114,6231127,10402,119113,116,168
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.4282,10000,6287569,20931,76038,1335,13368,1901,256294,77373,6313217,6231124,10425,119055,211,158
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.2915,10000,6298612,21041,87081,1445,14740,2100,286905,88526,6324747,6231127,10462,120655,138,156
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.505,10000,6311026,20778,99495,1182,15134,2598,302946,100677,6338081,6231127,10536,122012,121,167
