branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.253,16384,8520824,0,405,0,61,3,285,405,8520843,8520419,16394,64,0,1109
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.953,16384,8520780,0,361,0,47,1,245,361,8520770,8520419,16387,45,2,1206
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,148.379,16384,8520420,0,1,0,1,0,4,1,8520420,8520419,16384,3,0,883
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.507,16384,8520579,0,160,0,34,0,143,160,8520585,8520419,16387,36,0,1142
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.758,16384,8520787,0,368,0,51,3,234,368,8520791,8520419,16388,57,0,1078
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,101.235,16384,8525896,0,5477,0,289,84,1762,5477,8525811,8520419,16423,353,4,1267
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,101.616,16384,8527611,0,7192,0,319,142,2096,7192,8527419,8520419,16403,466,0,1146
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,100.883,16384,8528071,0,7652,0,251,210,2273,7652,8528107,8520419,16413,448,6,1059
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,102.282,16384,8528907,0,8488,0,293,176,2109,8488,8528842,8520419,16429,439,23,1030
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,101.845,16384,8533871,0,13452,0,295,319,3157,13452,8533977,8520419,16456,569,10,817
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,111.963,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,548
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.719,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,2,0,569
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,111.662,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,563
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,114.887,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,504
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.341,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,575
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,77.9764,16384,8525487,0,5068,0,260,109,7768,5068,8525400,8520419,16391,373,0,917
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,75.7863,16384,8527192,0,6773,0,266,156,7118,6773,8527145,8520419,16419,415,1,1063
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,78.2267,16384,8527177,0,6758,0,237,166,7597,6758,8527259,8520419,16442,358,0,1011
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,74.5212,16384,8523903,0,3484,0,289,53,7445,3484,8523881,8520419,16404,355,0,997
