branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.2305,10000,5856996,0,11149,0,5463,697,100942,11149,5858326,5845847,10701,236808,3,263
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.6764,10000,5861652,0,15805,0,7414,802,135891,15805,5864628,5845847,10742,238934,6,262
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.2863,10000,5863459,0,17612,0,7423,1045,142792,17612,5865446,5845847,10641,239664,8,261
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.5553,10000,5871148,0,25301,0,9742,1773,196961,25301,5876030,5845847,10835,242544,4,261
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.4267,10000,5865500,0,19653,0,7844,1553,162008,19653,5869542,5845847,10709,239848,7,259
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.2157,10000,5861243,0,15396,0,6455,1027,125998,15396,5862517,5845847,10685,238254,7,264
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.7673,10000,5871262,0,25415,0,9918,1593,200825,25415,5875788,5845847,10827,242710,6,259
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.3085,10000,5869300,0,23453,0,9239,1662,189539,23453,5873044,5845847,10801,242475,3,263
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.6062,10000,5871967,0,26120,0,9866,2017,206812,26120,5878324,5845847,10852,243180,7,262
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.2473,10000,5862677,0,16830,0,7590,1323,149166,16830,5867807,5845847,10847,239756,7,262
