branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.2148,10000,6245373,0,14246,0,3036,325,56656,14246,6247853,6231127,10299,106152,1,273
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.7346,10000,6236232,0,5105,0,1465,68,24882,5105,6236343,6231127,10162,104302,2,269
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1092,10000,6244736,0,13609,0,2845,288,52613,13609,6245928,6231127,10224,105935,4,265
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.3156,10000,6240262,0,9135,0,2055,206,36932,9135,6241946,6231127,10279,104975,0,258
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1818,10000,6236855,0,5728,0,1733,103,29376,5728,6237707,6231127,10217,104544,2,261
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.74563,10000,6648429,0,417302,0,23960,13097,728400,417302,6671051,6231127,10985,149594,44,402
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.91277,10000,6643739,0,412612,0,23728,12881,721224,412612,6663642,6231127,11023,148783,32,375
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.2351,10000,6694775,0,463648,0,26612,15334,802839,463648,6739605,6231127,12524,154696,39,388
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.07879,10000,6613581,0,382454,0,26677,12464,766535,382454,6641778,6231127,11642,149363,22,377
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.07962,10000,6631247,0,400120,0,25940,13122,770097,400120,6664759,6231127,11828,149965,38,381
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1664,10000,6240330,0,9203,0,2343,178,41369,9203,6241785,6231127,10240,105254,0,266
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.2615,10000,6238214,0,7087,0,1975,116,34383,7087,6239035,6231127,10221,104847,3,268
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1385,10000,6233485,0,2358,0,950,56,15859,2358,6234160,6231127,10207,103797,2,264
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1601,10000,6239264,0,8137,0,2086,141,36454,8137,6240496,6231127,10231,104970,0,260
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1216,10000,6244367,0,13240,0,2997,295,53596,13240,6246531,6231127,10260,106127,3,272
fossil_thread,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.19081,10000,6722827,0,491700,0,27147,16195,844300,491700,6782389,6231127,13877,156151,40,385
fossil_thread,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.28398,10000,6737389,0,506262,0,27796,16034,850619,506262,6766315,6231127,11475,158253,59,395
fossil_thread,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.74629,10000,6600538,0,369411,0,21798,11517,645533,369411,6618856,6231127,11009,144398,34,385
fossil_thread,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.10073,10000,6656400,0,425273,0,24061,13326,727474,425273,6674464,6231127,11118,149746,147,380
fossil_thread,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.73917,10000,6567162,0,336035,0,22241,11030,644390,336035,6602497,6231127,12276,142544,28,371
