branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.052,16384,8520174,246,1,0,1,0,19,1,8520420,8520419,16384,2,0,1864
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.937,16384,8520174,246,1,0,1,0,14,1,8520420,8520419,16384,1,0,1832
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.759,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,1,0,1873
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.018,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1864
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.442,16384,8520178,246,5,0,3,0,39,5,8520425,8520419,16384,7,0,1855
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.411,16384,8520178,247,5,1,2,0,22,6,8520423,8520419,16384,8,0,1825
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.898,16384,8520224,246,51,0,15,1,277,51,8520467,8520419,16384,31,0,1795
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.059,16384,8520186,246,13,0,5,0,80,13,8520430,8520419,16384,14,0,1788
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.186,16384,8520175,246,2,0,2,0,21,2,8520421,8520419,16384,4,0,1844
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.873,16384,8520174,246,1,0,1,0,22,1,8520420,8520419,16384,5,0,1857
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,synchronous,32,129.373,16384,8520175,246,2,0,2,0,40,2,8520421,8520419,16384,7,0,1857
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,synchronous,32,129.753,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,2,0,1903
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,synchronous,32,129.749,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,1,0,1870
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,synchronous,32,129.373,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,2,0,1875
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,synchronous,32,129.356,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1880
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,synchronous,32,111.82,16384,8520208,247,35,1,15,0,219,36,8520452,8520419,16384,34,0,1866
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,synchronous,32,112.021,16384,8520204,246,31,0,16,0,250,31,8520445,8520419,16384,42,0,1822
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,synchronous,32,111.641,16384,8520181,246,8,0,4,0,39,8,8520425,8520419,16384,24,0,1812
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,synchronous,32,112.046,16384,8520213,246,40,0,18,0,386,40,8520459,8520419,16384,32,0,1806
SynGVT,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,synchronous,32,111.725,16384,8520241,246,68,0,26,0,364,68,8520485,8520419,16386,43,0,1742
