branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.3055,10000,5855127,34087,40891,2476,15161,3969,329044,43367,5896890,5845847,11125,254008,76,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.7742,10000,5878310,35314,64074,3703,22293,5447,491855,67777,5927510,5845838,11343,264437,70,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.4453,10000,5871573,34547,57337,2936,18921,5229,426839,60273,5918947,5845843,11247,260910,72,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.412,10000,5876173,34604,61937,2993,20886,4934,451198,64930,5923064,5845847,11072,262380,61,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.5511,10000,5864975,34481,50739,2870,19061,4507,411790,53609,5908750,5845847,11205,259713,59,144
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,asynchronous,32,11.7001,10000,5919216,33390,104980,1779,31240,9151,713326,106759,5979599,5845846,11455,280247,141,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,asynchronous,32,11.4094,10000,5905847,33965,91611,2354,25986,7118,577569,93965,5948378,5845806,11339,273645,91,143
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,asynchronous,32,11.3523,10000,5897180,34844,82944,3233,27046,6408,577149,86177,5943618,5845847,11205,273512,119,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,asynchronous,32,11.4161,10000,5908449,33529,94212,1918,27851,8164,628779,96129,5951362,5845846,11013,277551,117,145
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,asynchronous,32,11.7141,10000,5922165,35015,107929,3404,31346,8802,707526,111333,5972151,5845847,11022,280824,104,143
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.2856,10000,6014165,35462,199929,3851,50146,16099,1173105,203780,6063661,5845847,11333,319182,209,151
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.4794,10000,6034005,36904,219769,5293,51832,17236,1217055,225062,6091166,5845847,11351,321587,213,145
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.0815,10000,6017820,34572,203584,2961,48842,15969,1138773,206545,6072418,5845847,12005,316620,227,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8935,10000,6002777,35524,188541,3913,48829,15372,1110582,192443,6063144,5845840,12084,316997,199,156
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8912,10000,5987611,34786,173375,3175,44492,13877,1014137,176550,6040644,5845847,11123,309504,175,150
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,synchronous,32,12.5205,10000,5870311,35209,56075,3598,19038,5122,433984,59673,5924966,5845846,11410,258930,69,134
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,synchronous,32,12.4049,10000,5864688,33464,50452,1853,18065,4430,383572,52305,5908405,5845846,11080,258469,79,136
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,synchronous,32,12.2547,10000,5852859,33272,38623,1661,15396,3123,314942,40284,5896581,5845839,10918,252856,46,136
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,synchronous,32,13.0232,10000,5912479,36229,98243,4618,27341,9885,686630,102861,5972811,5845845,11480,275709,96,137
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,synchronous,32,12.4283,10000,5864223,34013,49987,2402,18309,3957,390264,52389,5907570,5845844,11016,258147,110,136
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,synchronous,32,11.6127,10000,5910952,34169,96716,2558,27834,8056,628938,99274,5954456,5845838,11174,277024,124,139
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,synchronous,32,11.5582,10000,5893550,33846,79313,2235,25763,7067,554732,81534,5942287,5845850,11629,273113,140,135
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,synchronous,32,11.7042,10000,5926077,34884,111841,3273,31830,9143,717741,115114,5983132,5845840,11756,282340,128,140
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,synchronous,32,11.842,10000,5918249,34244,104013,2633,30418,10222,700606,106646,5984121,5845779,12105,281399,97,142
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,4,multiset,4,,synchronous,32,12.1208,10000,5923180,35115,108944,3504,30309,10395,720306,112448,5990185,5845847,12614,280073,130,137
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,synchronous,32,11.4572,10000,6017550,36379,203314,4768,48736,16344,1143409,208080,6074510,5845845,11465,316324,225,138
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,synchronous,32,11.2724,10000,6007381,35003,193145,3392,47371,14811,1098153,196537,6056144,5845847,11079,314192,214,132
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,synchronous,32,11.5073,10000,6002337,35223,188101,3612,47707,15084,1098462,191713,6064078,5845844,12515,313397,175,140
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,synchronous,32,10.9846,10000,5986878,34891,172642,3280,46167,13647,1036589,175922,6044084,5845817,11606,310082,191,134
SynGVT,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,synchronous,32,10.8663,10000,5996962,36893,182726,5282,46143,15028,1057974,188008,6054056,5845847,11560,313262,241,132
