branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.883,10000,6220842,19887,9311,291,3037,144,52654,9602,6241269,6231127,10212,106159,57,151
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2234,10000,6224472,20037,12941,441,3876,260,66381,13382,6246494,6231127,10324,106888,68,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4608,10000,6232854,19959,21323,363,4986,480,92409,21686,6255278,6231125,10314,108435,67,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.9361,10000,6229065,20589,17534,993,4516,325,79260,18527,6250688,6231127,10231,107701,57,154
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4047,10000,6241763,21345,30232,1749,5819,757,111564,31980,6264487,6231127,10232,109663,57,157
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,4,multiset,4,,asynchronous,32,12.3425,10000,6264265,20405,52734,809,9475,1317,184472,53543,6289350,6231127,10464,114120,95,157
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,4,multiset,4,,asynchronous,32,11.9775,10000,6244324,20459,32793,863,7052,713,124978,33655,6266819,6231123,10259,110858,80,158
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,4,multiset,4,,asynchronous,32,12.6076,10000,6282563,21209,71032,1613,11117,1905,224237,72644,6308331,6231127,10424,116634,113,163
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,4,multiset,4,,asynchronous,32,12.5145,10000,6261928,20319,50398,723,8976,1305,175251,51121,6288954,6231123,10520,113584,77,156
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,4,multiset,4,,asynchronous,32,12.5372,10000,6275490,20734,63959,1138,10843,1583,210916,65097,6301791,6231126,10544,115914,79,161
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0931,10000,6288849,20771,77318,1175,13039,1923,250477,78493,6314384,6231127,10567,118765,144,163
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0586,10000,6272431,21023,60900,1427,11320,1582,214552,62327,6298400,6231127,10449,116661,170,155
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.1141,10000,6277645,20972,66114,1376,11956,1574,227454,67490,6301450,6231122,10313,117252,186,165
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.3166,10000,6277795,20846,66264,1250,12085,1742,234379,67514,6304802,6231127,10555,117384,145,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.017,10000,6294183,21098,82652,1502,14216,2149,274305,84152,6323365,6231116,10523,120246,169,158
SynGVT,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,synchronous,32,13.3651,10000,6247097,20774,35566,1178,6433,845,122957,36743,6269864,6231127,10309,110431,79,142
SynGVT,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,synchronous,32,13.2948,10000,6233112,19964,21581,368,4975,538,89395,21949,6255994,6231127,10371,108545,35,146
SynGVT,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,synchronous,32,13.4814,10000,6240389,20883,28859,1287,6197,725,117530,30146,6265310,6231122,10424,109770,81,147
SynGVT,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,synchronous,32,13.2527,10000,6221717,19923,10186,327,3232,154,54121,10513,6242382,6231125,10226,106156,63,148
