branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,30.2644,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,507
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,30.3065,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,529
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,30.3125,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,527
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,30.2505,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,512
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,30.3094,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,511
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,32,29.9057,16384,2529618,0,424,0,39,8,923,424,2529640,2529194,16395,36,0,893
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,32,26.6563,16384,2529297,0,103,0,20,0,327,103,2529300,2529194,16387,21,0,837
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,32,28.7006,16384,2529264,0,70,0,11,0,123,70,2529273,2529194,16386,12,0,792
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,32,26.8454,16384,2529322,0,128,0,30,0,513,128,2529330,2529194,16388,27,0,783
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,32,29.9274,16384,2529681,0,487,0,27,12,629,487,2529713,2529194,16395,30,0,1147
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,21.5825,16384,2529256,0,62,0,21,0,358,62,2529257,2529194,16385,25,0,723
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,21.5686,16384,2529233,0,39,0,13,0,215,39,2529230,2529194,16385,13,0,701
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,21.1635,16384,2529629,0,435,0,45,7,943,435,2529626,2529194,16387,53,0,809
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,20.8031,16384,2529654,0,460,0,53,6,1491,460,2529655,2529194,16388,58,0,763
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,21.6194,16384,2529583,0,389,0,41,5,813,389,2529595,2529194,16393,40,0,744
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,synchronous,32,26.938,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,534
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,synchronous,32,26.9614,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,534
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,synchronous,32,27.1171,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,552
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,synchronous,32,27.19,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,541
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,synchronous,32,26.9525,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,530
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,synchronous,32,24.198,16384,2529316,0,122,0,19,0,393,122,2529314,2529194,16385,19,0,822
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,synchronous,32,27.7075,16384,2529646,0,452,0,27,11,619,452,2529678,2529194,16395,30,0,1140
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,synchronous,32,26.9287,16384,2529816,0,622,0,48,12,1113,622,2529853,2529194,16403,43,0,916
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,synchronous,32,27.8095,16384,2529686,0,492,0,27,13,656,492,2529721,2529194,16395,31,0,1161
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,synchronous,32,27.7711,16384,2529675,0,481,0,27,12,614,481,2529708,2529194,16395,30,0,1151
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,synchronous,32,19.7241,16384,2530061,0,867,0,47,17,1570,867,2530093,2529194,16400,52,0,805
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,synchronous,32,19.7806,16384,2529677,0,483,0,54,10,1182,483,2529688,2529194,16396,58,0,800
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,synchronous,32,19.8489,16384,2529874,0,680,0,55,9,1199,680,2529869,2529194,16390,64,0,848
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,synchronous,32,19.5492,16384,2529830,0,636,0,56,7,1847,636,2529824,2529194,16391,58,0,805
SynGVT,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,synchronous,32,19.5138,16384,2529436,0,242,0,22,5,456,242,2529450,2529194,16392,21,0,757
