branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.5892,10000,5864601,0,18754,0,8079,1373,159567,18754,5868891,5845847,10767,240052,6,266
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.2065,10000,5864871,0,19024,0,7312,1439,149538,19024,5868066,5845847,10704,238974,7,262
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.4566,10000,5867037,0,21190,0,8913,1319,182602,21190,5869720,5845847,10706,240960,14,264
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.3298,10000,5864503,0,18656,0,7645,1086,146495,18656,5866193,5845847,10693,238259,6,267
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.295,10000,5856159,0,10312,0,5328,543,96031,10312,5857189,5845847,10686,237135,8,262
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,32,11.3391,10000,6571290,0,725443,0,74038,69664,3108454,725443,6630582,5845847,12099,410124,58,314
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,32,11.2998,10000,6598925,0,753078,0,76667,72297,3245794,753078,6659182,5845847,13245,414404,62,317
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,32,10.1467,10000,6134493,0,288646,0,38287,29910,1424567,288646,6173165,5845847,11758,313108,14,280
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,32,11.6372,10000,6698716,0,852869,0,82148,80210,3578269,852869,6765453,5845847,12425,433321,50,316
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,32,11.3568,10000,6611991,0,766144,0,73462,71814,3223462,766144,6653580,5845847,11760,414494,74,308
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,8.06178,10000,6172586,0,326739,0,55069,30967,1715341,326739,6212859,5845847,12091,334573,49,314
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,7.65313,10000,6117747,0,271900,0,44597,23931,1409924,271900,6130042,5845847,10841,313129,37,324
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,8.05597,10000,6172007,0,326160,0,57301,31063,1768588,326160,6199370,5845847,12782,334748,49,307
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,8.06959,10000,6178223,0,332376,0,54907,32864,1790011,332376,6226667,5845847,12969,334619,42,315
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,7.87323,10000,6152784,0,306937,0,52818,28786,1625542,306937,6188886,5845847,11945,328560,59,321
SynGVT,pcs,"./pcs_sim",500,3,multiset,3,,synchronous,32,10.0124,10000,5862192,0,16345,0,7446,970,142531,16345,5864436,5845847,10672,239274,12,281
SynGVT,pcs,"./pcs_sim",500,3,multiset,3,,synchronous,32,10.0835,10000,5870286,0,24439,0,9873,2017,202918,24439,5877429,5845847,11768,241474,5,280
SynGVT,pcs,"./pcs_sim",500,3,multiset,3,,synchronous,32,9.72894,10000,5866149,0,20302,0,8506,1184,163624,20302,5868198,5845847,10739,241023,6,281
SynGVT,pcs,"./pcs_sim",500,3,multiset,3,,synchronous,32,10.0951,10000,5866740,0,20893,0,8568,1446,171597,20893,5870088,5845847,10702,240899,8,279
SynGVT,pcs,"./pcs_sim",500,3,multiset,3,,synchronous,32,10.1395,10000,5868928,0,23081,0,8726,1588,177334,23081,5872469,5845847,10661,239629,6,280
SynGVT,pcs,"./pcs_sim",500,4,multiset,4,,synchronous,32,10.363,10000,6353572,0,507725,0,52368,48786,2217268,507725,6418203,5845847,12312,354849,39,313
SynGVT,pcs,"./pcs_sim",500,4,multiset,4,,synchronous,32,11.0933,10000,6660394,0,814547,0,81484,80254,3573227,814547,6760897,5845847,14446,431509,61,325
SynGVT,pcs,"./pcs_sim",500,4,multiset,4,,synchronous,32,11.1511,10000,6700011,0,854164,0,84577,83860,3823501,854164,6806703,5845847,14778,439927,48,327
