branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1496,10000,6241171,0,10044,0,2372,171,42252,10044,6241832,6231127,10194,105340,2,270
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.2732,10000,6242619,0,11492,0,2695,241,49115,11492,6244394,6231127,10237,105714,4,264
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.3641,10000,6238703,0,7576,0,1874,171,33930,7576,6240287,6231127,10323,104714,0,259
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1666,10000,6238942,0,7815,0,2023,177,36442,7815,6240511,6231127,10267,104971,0,264
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.7787,10000,6238175,0,7048,0,2015,134,34964,7048,6239459,6231127,10239,104910,0,267
master,traffic,"./traffic_sim",10000,4,multiset,4,,asynchronous,32,12.3439,10000,6829809,0,598682,0,26423,18377,890349,598682,6853892,6231127,11457,162498,48,343
master,traffic,"./traffic_sim",10000,4,multiset,4,,asynchronous,32,12.6839,10000,7105701,0,874574,0,33521,25752,1195101,874574,7110440,6231127,10249,185709,68,374
master,traffic,"./traffic_sim",10000,4,multiset,4,,asynchronous,32,11.8594,10000,6676065,0,444938,0,19275,13593,654712,444938,6680921,6231127,10280,147332,24,329
master,traffic,"./traffic_sim",10000,4,multiset,4,,asynchronous,32,13.1362,10000,7186215,0,955088,0,38671,30014,1390691,955088,7239583,6231127,12468,196364,69,379
master,traffic,"./traffic_sim",10000,4,multiset,4,,asynchronous,32,12.1347,10000,6733911,0,502784,0,21682,16072,758922,502784,6762042,6231127,11580,153300,8,330
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.07885,10000,6669214,0,438087,0,25253,14022,757603,438087,6699440,6231127,11408,152053,42,385
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.69017,10000,6484951,0,253824,0,19799,8251,532773,253824,6505047,6231127,11207,135421,47,353
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.17418,10000,6659228,0,428101,0,27406,14264,811863,428101,6701322,6231127,12584,152764,48,378
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.45914,10000,6514050,0,282923,0,21159,8415,565577,282923,6519260,6231127,10256,137920,30,373
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.94424,10000,6657207,0,426080,0,24502,13792,748446,426080,6696358,6231127,12284,150332,24,385
SynGVT,traffic,"./traffic_sim",10000,3,multiset,3,,synchronous,32,11.6018,10000,6239000,0,7873,0,2176,130,37752,7873,6239935,6231127,10223,105047,1,293
SynGVT,traffic,"./traffic_sim",10000,3,multiset,3,,synchronous,32,11.5262,10000,6238693,0,7566,0,1987,155,34898,7566,6240064,6231127,10245,104904,2,291
SynGVT,traffic,"./traffic_sim",10000,3,multiset,3,,synchronous,32,11.4971,10000,6233776,0,2649,0,938,53,15852,2649,6234434,6231127,10198,103762,0,289
SynGVT,traffic,"./traffic_sim",10000,3,multiset,3,,synchronous,32,11.6394,10000,6239791,0,8664,0,2226,142,39568,8664,6240470,6231127,10201,105070,3,292
SynGVT,traffic,"./traffic_sim",10000,3,multiset,3,,synchronous,32,11.656,10000,6241664,0,10537,0,2562,225,44745,10537,6243381,6231127,10297,105547,2,296
SynGVT,traffic,"./traffic_sim",10000,4,multiset,4,,synchronous,32,13.1621,10000,7308534,0,1077407,0,41602,33909,1484573,1077407,7381320,6231127,13772,206062,87,397
SynGVT,traffic,"./traffic_sim",10000,4,multiset,4,,synchronous,32,12.6921,10000,7149460,0,918333,0,37508,28776,1345154,918333,7199712,6231127,12722,192470,73,396
SynGVT,traffic,"./traffic_sim",10000,4,multiset,4,,synchronous,32,13.0867,10000,7235396,0,1004269,0,39939,31849,1449839,1004269,7309367,6231127,13937,199977,81,394
SynGVT,traffic,"./traffic_sim",10000,4,multiset,4,,synchronous,32,11.4664,10000,6550742,0,319615,0,18753,10512,570524,319615,6579767,6231127,11927,138537,36,355
SynGVT,traffic,"./traffic_sim",10000,4,multiset,4,,synchronous,32,12.5968,10000,7243434,0,1012307,0,39979,31749,1449652,1012307,7304082,6231127,12136,201685,71,401
SynGVT,traffic,"./traffic_sim",10000,6,multiset,6,,synchronous,32,8.71213,10000,6598115,0,366988,0,24949,12047,719697,366988,6630958,6231127,11935,146818,156,404
SynGVT,traffic,"./traffic_sim",10000,6,multiset,6,,synchronous,32,8.26037,10000,6419596,0,188469,0,15781,5527,393961,188469,6422964,6231127,10422,127489,25,383
SynGVT,traffic,"./traffic_sim",10000,6,multiset,6,,synchronous,32,8.56168,10000,6575204,0,344077,0,21456,10949,628967,344077,6604776,6231127,11818,142338,27,411
SynGVT,traffic,"./traffic_sim",10000,6,multiset,6,,synchronous,32,8.50518,10000,6605216,0,374089,0,22388,11830,662020,374089,6628809,6231127,11436,145093,31,415
SynGVT,traffic,"./traffic_sim",10000,6,multiset,6,,synchronous,32,8.96028,10000,6662571,0,431444,0,25795,13784,775121,431444,6692662,6231127,11720,151384,34,399
