branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.694,16384,8520184,246,11,0,6,0,83,11,8520430,8520419,16384,13,2,1841
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.739,16384,8520175,246,2,0,2,0,48,2,8520421,8520419,16384,6,0,1832
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.838,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,5,0,1862
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.677,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1832
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.42,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1881
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,112.435,16384,8520186,247,13,1,8,0,96,14,8520431,8520419,16385,18,0,927
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.939,16384,8520183,246,10,0,9,0,177,10,8520429,8520419,16384,28,0,1846
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.217,16384,8520188,246,15,0,13,0,201,15,8520433,8520419,16384,38,0,1774
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.776,16384,8520188,246,15,0,9,0,133,15,8520432,8520419,16384,24,0,1780
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.528,16384,8520189,247,16,1,10,0,193,17,8520435,8520419,16384,15,0,1811
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.533,16384,8520187,246,14,0,21,0,358,14,8520440,8520419,16384,2,17,1860
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.967,16384,8520187,246,14,0,21,0,358,14,8520440,8520419,16384,1,17,1902
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.545,16384,8520193,246,20,0,25,0,431,20,8520449,8520419,16384,5,17,1877
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.492,16384,8520187,246,14,0,21,0,358,14,8520440,8520419,16384,0,17,1876
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.609,16384,8520197,247,24,1,27,0,477,25,8520453,8520419,16384,12,17,1854
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.729,16384,8520189,246,16,0,23,0,409,16,8520442,8520419,16384,10,17,1822
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.768,16384,8520190,246,17,0,23,0,361,17,8520444,8520419,16384,22,17,1855
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.412,16384,8520195,246,22,0,25,0,434,22,8520448,8520419,16384,13,17,1835
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.797,16384,8520216,246,43,0,36,0,590,43,8520469,8520419,16384,31,17,1548
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,114.358,16384,8520205,246,32,0,29,0,517,32,8520456,8520419,16384,11,17,1797
