branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.4874,10000,5867618,33898,53382,2287,20225,3955,417131,55669,5910703,5845847,10978,261448,91,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.8191,10000,5876814,35080,62578,3469,22279,5738,503766,66047,5930832,5845846,11583,263925,88,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.3939,10000,5864934,32711,50698,1100,19251,3935,402150,51798,5906600,5845845,10845,259886,75,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.7996,10000,5905568,35841,91332,4230,26986,8448,643189,95561,5961504,5845841,11438,273071,77,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,32,12.8544,10000,5885801,35763,71565,4152,21924,6755,512901,75717,5942718,5845843,11314,265079,70,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9436,10000,5983264,34536,169028,2925,45931,12874,1017542,171953,6030085,5845847,11272,309578,160,147
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.8494,10000,6006608,35210,192372,3599,48591,14748,1097018,195971,6057873,5845847,11246,315394,208,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.2303,10000,5996659,35176,182423,3565,47674,12977,1049285,185988,6045881,5845847,11168,310740,212,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,10.9993,10000,5995427,35597,181191,3986,46850,14015,1056131,185177,6047362,5845847,11437,311579,208,147
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,6,multiset,6,,asynchronous,32,11.2211,10000,6003291,35399,189055,3788,48481,15513,1102614,192843,6061657,5845847,11762,314890,180,148
