branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.7194,10000,6258544,21666,47013,2070,7513,1275,151363,49083,6283447,6231124,10307,112212,64,161
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4094,10000,6247897,21096,36366,1500,6993,877,133459,37866,6272030,6231123,10394,110891,103,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.8112,10000,6246455,20909,34924,1313,6466,810,122487,36236,6269843,6231126,10414,110366,53,162
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3735,10000,6224208,20025,12677,429,3875,238,66437,13106,6246070,6231127,10286,106931,60,145
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3486,10000,6243095,19929,31564,333,6342,712,119946,31897,6265749,6231127,10363,110043,65,150
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.4496,10000,6328565,20768,117035,1172,15568,3035,319665,118207,6354545,6231117,10424,123370,171,176
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.6228,10000,6313677,21262,102146,1666,15919,2595,317966,103812,6341280,6231127,10517,122585,154,166
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.5958,10000,6309900,21530,98369,1934,15042,2539,301684,100302,6337256,6231127,10525,121700,147,171
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.4956,10000,6294751,20787,83220,1191,14384,2055,278420,84411,6321361,6231127,10504,120175,117,155
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,10.8571,10000,6259868,21149,48337,1553,9898,1175,183204,49890,6284417,6231127,10430,114524,133,164
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.265,10000,6230377,20441,18846,845,4638,454,85093,19691,6253832,6231127,10335,107908,145,147
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.5544,10000,6238038,20458,26507,862,5618,740,107223,27369,6263538,6231127,10601,109096,150,152
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2691,10000,6236687,20090,25156,494,5696,544,102591,25650,6259303,6231123,10354,109135,140,150
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.9055,10000,6229311,19999,17781,403,4454,416,81028,18184,6251694,6231123,10320,107774,145,151
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.4334,10000,6232133,20564,20603,968,4806,444,87859,21570,6254714,6231122,10344,107986,145,146
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0602,10000,6302160,21802,90628,2207,14394,2376,284113,92831,6330371,6231130,10526,120709,238,175
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.3702,10000,6282190,20711,70659,1115,12750,1766,245410,71774,6308293,6231127,10455,118257,216,158
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0232,10000,6305917,21576,94386,1980,14523,2572,288793,96366,6336303,6231123,10950,120895,237,159
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0566,10000,6279681,20908,68150,1312,12205,1653,233611,69462,6304609,6231123,10436,117636,241,165
HashingPOC,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0315,10000,6281083,20576,69552,980,12939,1760,245828,70532,6309042,6231127,10779,118010,247,159
