branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,111.765,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,509
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,114.797,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,524
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,114.996,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,540
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.451,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,540
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.404,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,560
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,77.6827,16384,8522625,0,2206,0,193,31,3936,2206,8522556,8520419,16386,247,0,968
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,75.2231,16384,8523054,0,2635,0,223,44,5150,2635,8523001,8520419,16391,278,2,1072
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,77.4798,16384,8530424,0,10005,0,251,250,9804,10005,8530443,8520419,16439,480,2,1004
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,79.3099,16384,8526532,0,6113,0,385,150,10240,6113,8526485,8520419,16402,542,18,1260
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,78.1933,16384,8528778,0,8359,0,262,230,9157,8359,8528770,8520419,16403,497,2,1019
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,119.836,16384,8520433,0,14,0,21,0,358,14,8520440,8520419,16384,0,17,532
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,119.989,16384,8520433,0,14,0,21,0,358,14,8520440,8520419,16384,0,17,510
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.659,16384,8520433,0,14,0,21,0,358,14,8520440,8520419,16384,0,17,529
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,116.302,16384,8520433,0,14,0,21,0,358,14,8520440,8520419,16384,1,17,579
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,120.161,16384,8520437,0,18,0,25,0,431,18,8520444,8520419,16384,10,17,592
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,78.5294,16384,8522656,0,2237,0,271,29,5369,2237,8522627,8520419,16395,284,17,1058
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,80.2941,16384,8522905,0,2486,0,253,36,5556,2486,8522835,8520419,16390,283,17,838
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,77.3524,16384,8524970,0,4551,0,271,86,6478,4551,8524925,8520419,16389,351,19,929
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,80.6694,16384,8529686,0,9267,0,308,226,10241,9267,8529678,8520419,16402,520,19,1052
HashingPOC,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,78.8078,16384,8525870,0,5451,0,342,89,7483,5451,8525760,8520419,16398,417,19,1018
