branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.5999,10000,5871434,0,25587,0,9753,1574,196999,25587,5876130,5845847,10773,241729,2,259
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.4529,10000,5861117,0,15270,0,6671,1049,129950,15270,5865491,5845847,10769,238583,10,264
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.4635,10000,5869043,0,23196,0,9485,1342,191314,23196,5871540,5845847,10771,241671,3,264
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.1735,10000,5869487,0,23640,0,9302,1575,185178,23640,5872928,5845847,10714,241714,14,264
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,10.3248,10000,5862887,0,17040,0,7041,1139,140052,17040,5864295,5845847,10672,238308,5,256
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,8.11436,10000,6216079,0,370232,0,53763,35604,1858665,370232,6258350,5845847,12852,338505,70,323
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,8.11191,10000,6180990,0,335143,0,57515,32757,1834893,335143,6218002,5845847,11332,337979,49,312
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,8.09648,10000,6201430,0,355583,0,52878,34296,1797031,355583,6243212,5845847,13141,334461,40,320
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,8.12011,10000,6164559,0,318712,0,54280,31311,1695118,318712,6213142,5845847,13432,332653,57,313
master,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,8.25795,10000,6256193,0,410346,0,64286,41296,2173285,410346,6304161,5845847,11860,356797,52,322
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,15.2989,10000,6381900,0,536053,0,438824,3514,7581798,536053,6415362,5845847,10805,237203,919762,279
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,15.3105,10000,6382503,0,536656,0,438797,3394,7578053,536656,6415424,5845847,10706,236953,919909,277
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,15.3949,10000,6379999,0,534152,0,438397,3414,7575588,534152,6414292,5845847,10850,236574,919500,277
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,15.2279,10000,6396976,0,551129,0,442176,6116,7704655,551129,6440081,5845847,11260,243086,921278,277
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,32,15.16,10000,6382846,0,536999,0,439032,3652,7587964,536999,6417014,5845847,10999,236835,920114,276
HashingPOC,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,12.2237,10000,6945157,0,1099310,0,512261,78117,11001695,1099310,7040826,5845847,12650,385609,1009077,331
HashingPOC,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,10.6683,10000,6519755,0,673908,0,462282,21236,8465220,673908,6558781,5845847,10768,284394,943900,314
HashingPOC,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,11.3539,10000,6816956,0,971109,0,500316,60950,10319123,971109,6895625,5845847,11981,359249,985799,331
HashingPOC,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,11.6223,10000,6863951,0,1018104,0,506975,67064,10575353,1018104,6949530,5845847,11902,368055,1018181,322
HashingPOC,pcs,"./pcs_sim",500,6,multiset,6,,asynchronous,32,11.7007,10000,6906441,0,1060594,0,504312,69915,10635356,1060594,6962279,5845847,10948,372878,1000937,336
