branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.8539,10000,6238062,0,6935,0,1919,127,33781,6935,6238822,6231127,10212,104747,2,268
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.281,10000,6236130,0,5003,0,1455,96,25850,5003,6236976,6231127,10212,104326,0,258
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1909,10000,6239371,0,8244,0,2243,143,39391,8244,6240046,6231127,10196,105114,1,267
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1659,10000,6240125,0,8998,0,2243,154,39849,8998,6240719,6231127,10198,105134,3,265
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1943,10000,6241318,0,10191,0,2435,224,45372,10191,6243106,6231127,10267,105469,0,270
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.14755,10000,6644770,0,413643,0,24485,13527,735663,413643,6687027,6231127,12370,149523,26,371
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.91152,10000,6562444,0,331317,0,22778,10610,652258,331317,6586327,6231127,11810,142293,65,367
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.89059,10000,6547680,0,316553,0,21307,10420,614350,316553,6580509,6231127,12006,140611,22,366
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.96202,10000,6596214,0,365087,0,23602,12048,689578,365087,6634091,6231127,12310,145669,20,379
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.10279,10000,6613688,0,382561,0,25662,12374,741352,382561,6642063,6231127,11864,148111,30,376
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.7571,10000,6240273,0,9146,0,2240,179,39897,9146,6241435,6231127,10216,105163,81,271
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1671,10000,6235290,0,4163,0,1429,72,24369,4163,6235772,6231127,10180,104240,81,263
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.7487,10000,6235889,0,4762,0,1437,87,24297,4762,6236400,6231127,10186,104246,84,271
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.7159,10000,6239948,0,8821,0,2366,157,40647,8821,6240971,6231127,10224,105181,81,274
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.618,10000,6237539,0,6412,0,1772,157,31283,6412,6239367,6231127,10297,104639,81,267
HashingPOC,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.13896,10000,6629755,0,398628,0,22801,12624,690766,398628,6652575,6231127,11697,146733,132,379
HashingPOC,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.22733,10000,6759417,0,528290,0,28857,17372,917175,528290,6809649,6231127,12657,160896,122,398
HashingPOC,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.17115,10000,6675418,0,444291,0,25037,14206,766165,444291,6702632,6231127,11485,152064,108,384
HashingPOC,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.15575,10000,6688004,0,456877,0,26141,14620,788469,456877,6721364,6231127,12125,153309,127,382
HashingPOC,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.95794,10000,6683971,0,452844,0,24940,14197,761565,452844,6709235,6231127,11685,152111,107,384
