branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.721,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,1,0,1855
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.804,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1801
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.159,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,1,0,1878
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.903,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,2,0,1828
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.736,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1864
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,111.024,16384,8520219,246,46,0,24,0,391,46,8520462,8520419,16384,38,0,1830
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.749,16384,8520176,246,3,0,2,0,7,3,8520423,8520419,16384,9,0,1784
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.731,16384,8520202,246,29,0,13,0,265,29,8520447,8520419,16385,24,0,1757
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.777,16384,8520189,246,16,0,8,0,91,16,8520433,8520419,16384,21,0,1837
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,110.87,16384,8520175,246,2,0,1,0,14,2,8520421,8520419,16384,5,0,1817
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.885,16384,8520179,248,6,2,4,0,134,8,8520425,8520419,16384,0,0,319
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.153,16384,8520174,246,1,0,1,0,14,1,8520420,8520419,16384,0,0,303
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.179,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,303
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.096,16384,8520177,246,4,0,3,0,69,4,8520424,8520419,16384,0,0,305
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,135.049,16384,8520196,248,23,2,13,0,151,25,8520444,8520419,16384,0,0,323
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,116.094,16384,8520257,247,84,1,32,0,471,85,8520498,8520419,16384,0,0,375
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,115.464,16384,8520190,246,17,0,11,0,149,17,8520435,8520419,16384,0,0,358
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,115.835,16384,8520350,248,177,2,67,1,1104,179,8520591,8520419,16384,0,0,369
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,115.386,16384,8520195,246,22,0,16,0,254,22,8520439,8520419,16384,0,0,354
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,115.999,16384,8520282,246,109,0,45,0,628,109,8520519,8520419,16384,0,0,377
