branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.6593,10000,6237494,19903,25963,307,5396,550,100880,26269,6260085,6231123,10304,109003,67,150
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3601,10000,6233637,20791,22106,1195,5302,497,97058,23300,6256840,6231123,10332,108621,68,156
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.2235,10000,6234514,20216,22983,620,4997,453,91263,23603,6255467,6231127,10179,108483,59,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3917,10000,6230305,20167,18774,571,4656,425,85042,19345,6252783,6231127,10305,107988,63,152
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,13.3875,10000,6238931,21287,27400,1691,5611,660,102961,29091,6262584,6231124,10317,109225,68,144
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0806,10000,6277280,20821,65751,1225,12265,1627,234666,66976,6303748,6231109,10497,117524,142,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.079,10000,6272774,20805,61243,1209,11858,1510,222523,62451,6297986,6231124,10441,116887,135,161
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.1257,10000,6289564,21138,78033,1542,13868,1895,261122,79575,6315541,6231123,10501,119310,161,161
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.0443,10000,6270289,21265,58759,1669,11625,1437,215968,60426,6297200,6231123,10511,116555,133,159
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,11.3478,10000,6301905,21626,90374,2030,14594,2261,280154,92404,6327097,6231127,10422,121139,117,158
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,35.3806,10000,9537334,45618,3325803,26022,144651,408921,9892354,3351825,9599489,6231127,10878,0,0,516
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,34.4735,10000,9504309,44805,3292778,25209,144577,405924,9850915,3317987,9565784,6231127,10918,0,0,510
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,34.2665,10000,9483633,43763,3272102,24167,144442,401134,9738505,3296269,9543765,6231127,10786,0,0,512
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,33.8445,10000,9312804,42418,3101273,22822,140000,382557,9268805,3124095,9367214,6231127,10478,0,0,511
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,32,34.5352,10000,9477446,43897,3265915,24301,142805,402699,9704313,3290216,9536349,6231127,10691,0,0,515
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,26.9901,10000,9162666,34645,2951135,15049,146580,352662,8893951,2966184,9209335,6231127,10539,0,0,492
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,35.1963,10000,10585260,45067,4373729,25471,186003,534975,13216085,4399200,10943282,6231127,22735,0,0,519
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,31.6425,10000,9892089,41055,3680558,21459,164306,437805,10812711,3702017,10004214,6231127,12961,0,0,507
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,32.801,10000,9889206,40599,3677675,21003,167162,436722,10958504,3698678,10024740,6231127,15091,0,0,533
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,6,multiset,6,,asynchronous,32,34.4551,10000,10257353,44329,4045822,24733,175409,493400,12156824,4070555,10533879,6231127,20206,0,0,520
