branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.2,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,548
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.711,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,539
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,114.816,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,516
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,114.975,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,508
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.402,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,536
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,78.4417,16384,8527287,0,6868,0,283,166,8733,6868,8527181,8520419,16405,440,2,1106
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,76.1441,16384,8525553,0,5134,0,254,112,6825,5134,8525615,8520419,16447,329,0,1072
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,75.4331,16384,8523927,0,3508,0,250,53,5869,3508,8523798,8520419,16388,328,0,1105
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,77.7305,16384,8527627,0,7208,0,249,188,7862,7208,8527604,8520419,16415,432,6,1050
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,78.3282,16384,8529085,0,8666,0,337,196,10035,8666,8529147,8520419,16467,467,2,1093
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,106.908,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,1407
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,107.035,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,1411
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,106.717,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,1404
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,107.016,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,1418
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,106.882,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,1412
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,74.7862,16384,8531831,0,11412,0,337,352,13569,11412,8531893,8520419,16465,0,0,636
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,73.487,16384,8526558,0,6139,0,202,187,6646,6139,8526541,8520419,16395,0,0,1587
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,73.3164,16384,8520627,0,208,0,51,2,709,208,8520617,8520419,16384,0,0,1543
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,74.9484,16384,8525204,0,4785,0,274,107,7505,4785,8525213,8520419,16435,0,0,983
UnifiedMainBranch,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,74.2798,16384,8534887,0,14468,0,323,525,14592,14468,8534777,8520419,16430,0,0,740
