branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.8729,10000,6236297,0,5170,0,1654,94,27778,5170,6237273,6231127,10221,104496,0,268
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.2175,10000,6243623,0,12496,0,2690,263,50244,12496,6245230,6231127,10243,105730,2,265
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,11.888,10000,6240063,0,8936,0,2115,182,37338,8936,6241104,6231127,10205,105101,0,268
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1068,10000,6242552,0,11425,0,2598,223,47449,11425,6243956,6231127,10222,105634,0,269
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,12.1395,10000,6239600,0,8473,0,2238,165,39962,8473,6240870,6231127,10234,105190,3,270
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.12965,10000,6610827,0,379700,0,24428,12596,715543,379700,6647153,6231127,12243,147272,22,381
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,9.08948,10000,6594918,0,363791,0,23705,11720,687234,363791,6625168,6231127,11886,145374,26,374
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.9162,10000,6591238,0,360111,0,23800,11779,697474,360111,6621694,6231127,11886,145278,17,371
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.86523,10000,6617569,0,386442,0,26067,11861,737525,386442,6625380,6231127,10494,148614,37,388
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,8.91687,10000,6645341,0,414214,0,24107,12961,726272,414214,6663617,6231127,11038,149173,54,379
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,21.4938,10000,8571173,0,2340046,0,123084,294606,7264979,2340046,8583596,6231127,10676,0,0,963
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,21.3598,10000,8548709,0,2317582,0,122620,291689,7218230,2317582,8559210,6231127,10550,0,0,961
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,21.5656,10000,8546671,0,2315544,0,122162,291665,7186741,2315544,8554732,6231127,10498,0,0,963
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,22.0599,10000,8623462,0,2392335,0,125829,299079,7429807,2392335,8649592,6231127,11367,0,0,957
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,22.4813,10000,8602651,0,2371524,0,124864,297595,7381884,2371524,8623568,6231127,11144,0,0,959
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,17.9957,10000,10243146,0,4012019,0,157573,486384,11710384,4012019,10282707,6231127,12037,0,0,1125
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,18.4399,10000,10378356,0,4147229,0,160693,501679,12058412,4147229,10426324,6231127,12118,0,0,1139
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,17.6148,10000,10209012,0,3977885,0,159032,480034,11619414,3977885,10260820,6231127,12176,0,0,1131
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,18.0956,10000,10212708,0,3981581,0,157108,482394,11600629,3981581,10252055,6231127,12229,0,0,1126
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,17.9979,10000,10259947,0,4028820,0,158286,490321,11783001,4028820,10323546,6231127,11954,0,0,1136
