branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,13.8173,10000,5924243,37251,110007,5640,28306,11485,86264,115647,5994347,5845839,11838,277141,74,143
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,14.2394,10000,5940938,37176,126702,5565,30877,13053,94883,132267,6016658,5845844,11822,281535,97,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,13.7512,10000,5912529,36237,98293,4626,27269,9977,80462,102919,5973209,5845846,11621,274519,86,143
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,13.6813,10000,5902750,32826,88514,1215,24573,8954,72768,89729,5956699,5845847,11339,271876,80,143
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,14.0624,10000,5935683,37353,121447,5742,30407,13524,96194,127189,6000984,5845847,11939,282339,101,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.3059,10000,5925239,37523,111003,5912,30166,11729,167463,116915,5996831,5845847,12147,279615,87,146
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.4238,10000,5929967,36644,115731,5033,31524,12419,174031,120764,6004701,5845843,11991,283109,99,142
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.1817,10000,5874378,34736,60142,3125,19558,7265,103779,63267,5936245,5845847,12041,262223,68,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.0885,10000,5903938,34639,89702,3028,27060,8774,142582,92730,5958649,5845847,11526,274451,87,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.3801,10000,5911942,35541,97706,3930,26826,9546,143152,101635,5974900,5845843,11589,274304,90,136
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,12.9633,10000,5898123,35628,83887,4017,25770,8571,176785,87904,5956086,5845847,11689,272473,100,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,13.1307,10000,5889606,33649,75370,2038,23071,7971,158963,77408,5948367,5845847,11799,268068,71,135
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,13.1881,10000,5913408,35509,99172,3898,25949,10851,192685,103070,5975039,5845847,11845,274389,87,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,13.244,10000,5932717,36628,118481,5017,31211,11388,224732,123498,5986187,5845847,11329,281457,80,136
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,13.0049,10000,5904113,33349,89877,1738,25695,9068,178375,91615,5973018,5845847,11317,273756,78,136
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,0.0850311,10000,526521,300,55,0,2,1,7,20,26823,26768,10008,21423,35,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,0.10665,10000,526044,257,190,0,6,0,9,53,26303,26113,10008,21418,60,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,0.115568,10000,526332,301,75,0,4,0,8,12,26635,26560,10007,21419,34,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,0.151369,10000,526121,298,53,0,2,1,7,19,26421,26368,10006,21423,35,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,0.102175,10000,526127,297,78,0,4,0,2,14,26426,26348,10005,21419,14,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,0.111971,10000,526565,300,77,0,3,1,16,20,26867,26790,10009,21423,40,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,0.119186,10000,526589,300,77,0,3,1,16,23,26891,26814,10009,21423,43,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,0.124955,10000,526589,300,77,0,3,1,16,23,26891,26814,10009,21423,43,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,0.130723,10000,526352,301,49,0,3,0,15,9,26655,26606,10007,21418,32,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,0.10823,10000,526589,300,77,0,3,1,16,23,26891,26814,10009,21423,45,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,0.0846442,10000,526567,300,55,0,2,1,7,20,26869,26814,10008,21423,33,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,0.104464,10000,526001,275,94,0,3,1,8,22,26278,26184,10006,21418,31,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,0.116203,10000,526286,342,284,26,14,0,58,106,26629,26319,10014,21422,6,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,0.0992573,10000,526564,300,53,0,2,1,7,19,26866,26813,10007,21424,33,0
relaxedCompare,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,0.101968,10000,525760,285,88,0,4,1,11,29,26047,25959,10013,21426,15,0
