branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.7214,10000,6281380,21023,69849,1427,9170,2075,22891,71276,6310305,6231123,10673,114691,81,156
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.4651,10000,6235614,20580,24084,984,4930,730,11570,25068,6261058,6231122,10469,108542,66,143
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.4691,10000,6230016,20301,18485,705,4607,410,10183,19190,6252901,6231122,10368,107882,42,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.68,10000,6247010,19863,35479,267,5983,1149,14492,35746,6274093,6231127,10681,110244,59,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.3336,10000,6244153,20683,32622,1087,6428,862,14990,33709,6270909,6231127,10523,110286,69,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.6846,10000,6237625,20621,26094,1025,5506,592,21824,27118,6260184,6231125,10267,109087,70,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.9514,10000,6250814,20380,39283,784,7172,1034,30154,40066,6276535,6231127,10504,111257,76,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.9079,10000,6239336,20656,27805,1060,5771,786,23578,28865,6265294,6231122,10594,109407,60,143
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.6216,10000,6241147,21788,29616,2192,6010,718,24119,31808,6265183,6231124,10321,109724,52,143
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.8248,10000,6242225,20117,30694,521,6260,706,25347,31215,6264229,6231124,10318,109984,77,151
