branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,55.1134,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1056
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,52.3658,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1178
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,54.2012,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1142
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,54.6166,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1165
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,54.6214,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1202
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.3372,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,825
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,43.1806,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,811
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.5927,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,847
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.3411,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,812
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.5455,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,837
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,41.12,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,726
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,41.1585,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,743
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,41.5056,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,767
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,41.2212,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,761
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,40.9296,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,743
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,55.316,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1016
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,55.7478,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1005
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,52.9541,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1079
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,56.5531,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1196
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,53.2984,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1096
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,46.1372,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,824
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,46.2204,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,849
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,46.5128,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,827
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,46.1946,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,818
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,45.9582,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,841
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,41.7553,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,728
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,41.8054,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,723
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,42.1356,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,749
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,40.1563,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,740
relaxedCompare,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,40.2669,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,803
