branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.2802,10000,5910310,0,64463,0,16137,6292,50157,64463,5918210,5845847,10979,256175,10,257
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.0111,10000,5900510,0,54663,0,15323,4899,44481,54663,5906084,5845847,10868,252544,11,252
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.1494,10000,5920293,0,74446,0,16151,7887,53666,74446,5929946,5845847,11002,257711,4,258
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.0173,10000,5924585,0,78738,0,16031,7659,52997,78738,5927403,5845847,10701,257054,6,251
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.2189,10000,5889366,0,43519,0,13046,3759,36712,43519,5893967,5845847,10864,248588,9,252
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.6792,10000,5873650,0,27803,0,10736,2152,50788,27803,5880237,5845847,10923,242848,5,233
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.9988,10000,5900707,0,54860,0,14902,5030,80164,54860,5909261,5845847,10914,252840,13,235
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.3606,10000,5889799,0,43952,0,13367,3526,67171,43952,5895918,5845847,10892,248954,7,229
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.4297,10000,5890179,0,44332,0,13668,3539,68980,44332,5896308,5845847,10929,248301,13,230
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.8229,10000,5891745,0,45898,0,13364,4213,71583,45898,5899697,5845847,11004,248337,9,227
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,11.0182,10000,5883110,0,37263,0,11564,3717,80768,37263,5889038,5845847,11380,246433,4,249
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,11.163,10000,5903359,0,57512,0,15124,5421,107529,57512,5917690,5845847,10971,252066,6,253
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,10.83,10000,5890636,0,44789,0,13319,4382,93356,44789,5901872,5845847,10998,250195,6,248
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,10.5987,10000,5879678,0,33831,0,11542,2942,73905,33831,5887957,5845847,10907,245319,10,257
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,10.9938,10000,5906529,0,60682,0,15552,5909,113488,60682,5914442,5845847,10989,254209,7,253
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,0.0234962,10000,517319,0,40,0,1,0,1,10,17319,17279,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,0.022625,10000,517319,0,40,0,1,0,1,10,17319,17279,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,0.0223325,10000,517319,0,40,0,1,0,1,10,17319,17279,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,0.0240017,10000,517320,0,40,0,1,0,1,10,17320,17280,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,0.0239186,10000,517939,0,73,0,4,0,9,18,17941,17868,10005,21394,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,0.0205392,10000,517319,0,40,0,1,0,4,10,17319,17279,10002,21382,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,0.0222255,10000,517319,0,40,0,1,0,4,10,17319,17279,10002,21382,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,0.0218078,10000,517319,0,40,0,1,0,4,10,17319,17279,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,0.0219654,10000,517319,0,40,0,1,0,4,10,17319,17279,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,0.0213408,10000,517319,0,40,0,1,0,4,10,17319,17279,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,0.0211609,10000,517319,0,40,0,1,0,6,10,17319,17279,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,0.0208146,10000,517319,0,40,0,1,0,6,10,17319,17279,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,0.0201877,10000,517319,0,40,0,1,0,6,10,17319,17279,10002,21381,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,0.0217835,10000,517939,0,73,0,4,0,24,18,17941,17868,10005,21394,7,0
relaxedCompare,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,0.0210887,10000,517319,0,40,0,1,0,6,10,17319,17279,10002,21381,7,0
