branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.7106,10000,6253107,0,21980,0,3846,562,8892,21980,6256312,6231127,10374,107199,0,272
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,13.1611,10000,6252859,0,21732,0,3441,654,8339,21732,6256951,6231127,10432,106876,0,254
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.8977,10000,6258192,0,27065,0,4066,787,9979,27065,6262670,6231127,10447,107707,0,265
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,13.1038,10000,6249583,0,18456,0,3380,530,8032,18456,6253547,6231127,10441,106701,5,272
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.6433,10000,6243711,0,12584,0,2709,260,6046,12584,6245243,6231127,10260,105763,2,263
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.389,10000,6243688,0,12561,0,2727,282,10891,12561,6245578,6231127,10289,105813,2,228
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.7634,10000,6257821,0,26694,0,4026,757,17786,26694,6262255,6231127,10462,107587,2,236
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.3943,10000,6248940,0,17813,0,3185,440,13359,17813,6251625,6231127,10343,106437,0,228
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.5131,10000,6251078,0,19951,0,3494,500,14486,19951,6253453,6231127,10313,106852,1,232
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.2398,10000,6236330,0,5203,0,1368,110,5380,5203,6237329,6231127,10192,104226,0,223
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.2583,10000,6247849,0,16722,0,3116,409,16873,16722,6250292,6231127,10283,106349,0,243
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.2949,10000,6248587,0,17460,0,3400,409,18119,17460,6250890,6231127,10243,106708,2,254
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.2653,10000,6250622,0,19495,0,3498,502,19086,19495,6254384,6231127,10371,106797,2,256
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.4346,10000,6245688,0,14561,0,3022,331,15992,14561,6247893,6231127,10300,106086,0,249
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.2905,10000,6247150,0,16023,0,3209,356,16765,16023,6248983,6231127,10235,106427,3,248
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,0.0680905,10000,315003,0,33,0,5,0,7,18,65003,64970,10014,28049,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,0.0727929,10000,315070,0,3,0,2,0,7,1,65070,65067,10011,28040,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,0.0682553,10000,314831,0,53,0,10,2,23,37,64831,64778,10014,28051,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,0.0702444,10000,314919,0,49,0,10,2,26,33,64919,64870,10014,28048,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,0.0676778,10000,315131,0,34,0,6,0,12,19,65131,65097,10014,28048,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,0.0650258,10000,315144,0,27,0,5,0,17,17,65144,65117,10012,28047,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,0.0679707,10000,315218,0,35,0,6,0,12,19,65218,65183,10014,28047,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,0.0635032,10000,314810,0,113,0,11,2,49,91,64810,64697,10015,28055,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,0.0638754,10000,315230,0,34,0,5,0,11,18,65230,65196,10014,28046,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,0.0650107,10000,314736,0,33,0,6,0,20,19,64736,64703,10014,28048,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,0.0633833,10000,315021,0,9,0,3,1,26,9,65021,65012,10010,28051,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,0.0632024,10000,314555,0,197,0,11,7,50,162,64555,64358,10015,28058,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,0.0676819,10000,314970,0,4,0,2,0,12,2,64970,64966,10010,28044,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,0.0629766,10000,314957,0,121,0,11,3,69,98,64957,64836,10015,28058,0,0
relaxedCompare,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,0.0621045,10000,315216,0,36,0,7,0,50,20,65216,65180,10014,28049,0,0
