branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,171.588,16384,8520241,249,68,3,22,0,118,71,8520484,8520419,16384,37,0,240
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,172.112,16384,8520283,247,110,1,36,0,169,111,8520528,8520419,16385,50,0,293
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,171.104,16384,8520188,247,15,1,6,0,28,16,8520435,8520419,16384,10,0,228
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,172.061,16384,8520202,247,29,1,14,0,73,30,8520448,8520419,16384,26,0,340
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,172.885,16384,8520256,248,83,2,21,0,136,85,8520509,8520419,16385,33,0,200
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.534,16384,8520175,247,2,1,1,0,29,3,8520421,8520419,16384,3,0,1883
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.273,16384,8520174,246,1,0,1,0,14,1,8520420,8520419,16384,2,0,1852
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.884,16384,8520174,246,1,0,1,0,30,1,8520420,8520419,16384,2,0,1888
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.271,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,2,0,1865
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.631,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,1,0,1852
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,172.058,16384,8520229,247,56,1,24,0,103,57,8520475,8520419,16386,35,0,276
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,171.307,16384,8520227,248,54,2,23,0,113,56,8520469,8520419,16384,33,0,218
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,171.486,16384,8520213,246,40,0,14,0,58,40,8520458,8520419,16384,19,0,226
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,172.463,16384,8520220,246,47,0,25,0,155,47,8520468,8520419,16385,41,0,274
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,171.052,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,664
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,129.014,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1891
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.743,16384,8520179,246,6,0,4,0,65,6,8520427,8520419,16384,6,0,1872
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.952,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,1887
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.201,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,1,0,1850
fossil_thread,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,127.754,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,1,0,1855
