branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,14.1211,10000,5927432,36761,113196,5150,30203,11816,90642,118346,5997895,5845841,11707,281050,97,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,14.3467,10000,5966680,38515,152444,6904,37409,15106,113311,159348,6038607,5845847,12195,292103,77,142
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,13.9645,10000,5953334,37022,139098,5411,34171,14054,105100,144509,6022566,5845847,12009,289132,92,144
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,14.5207,10000,5962386,39007,148150,7396,33361,16282,107522,155546,6037839,5845847,12474,290683,96,139
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,13.9695,10000,5912375,36738,98139,5127,26140,11146,80307,103266,5985556,5845847,12613,274064,78,147
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.6914,10000,5973558,39478,159322,7867,37110,15297,209353,167189,6042290,5845845,11689,293192,72,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.503,10000,5912827,36332,98590,4721,28289,10152,152522,103310,5976704,5845842,12008,276145,106,136
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.6776,10000,5955295,38203,141059,6592,34504,13950,194410,147651,6023485,5845847,11747,286816,137,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.6092,10000,5959900,39022,145664,7411,35825,15143,202772,153075,6033426,5845844,12155,290623,116,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.1411,10000,5920895,36717,106659,5106,30401,9892,159345,111765,5975450,5845847,11160,278869,76,132
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,13.4833,10000,5982180,39345,167944,7734,39152,15851,288903,175678,6047526,5845846,11681,295649,95,137
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,12.8578,10000,5890511,34074,76275,2463,25276,7603,168820,78738,5947897,5845845,11563,269773,95,139
