branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.8165,10000,6267744,20877,56214,1281,9277,1609,21852,57495,6296318,6231122,10659,114113,85,151
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.3551,10000,6243800,19906,32269,310,6174,902,14452,32579,6269353,6231127,10541,110065,65,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.6528,10000,6247587,20190,36056,594,6087,1182,14787,36649,6275376,6231127,10658,110277,62,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.4471,10000,6247088,19999,35557,403,5973,932,14150,35960,6271577,6231127,10396,110132,70,154
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.4887,10000,6248032,20889,36501,1293,7071,935,16393,37794,6273439,6231124,10461,111004,88,150
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.8453,10000,6238386,20116,26855,520,5546,630,22753,27375,6262035,6231123,10430,109201,72,143
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,14.2744,10000,6246622,20719,35091,1123,6514,1066,27144,36214,6274654,6231127,10673,110397,75,138
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.8487,10000,6255304,21558,43773,1962,7214,1293,31330,45735,6282343,6231127,10511,111698,49,143
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,14.1671,10000,6265968,20433,54437,837,7839,1604,34975,55274,6294415,6231127,10653,112756,56,151
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,14.3535,10000,6301136,20311,89605,715,11352,2755,51005,90320,6334983,6231127,11019,117836,63,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,14.2113,10000,6267119,20941,55588,1345,8701,1545,48695,56933,6293423,6231127,10500,113534,81,143
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,13.8041,10000,6247584,20849,36054,1253,6256,1082,34647,37307,6274425,6231121,10571,110368,66,145
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,13.6055,10000,6237613,20427,26082,831,5861,579,30139,26910,6261667,6231129,10412,109321,66,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,13.6926,10000,6259285,20259,47754,663,7792,1274,42697,48417,6283964,6231126,10470,112357,85,145
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,13.8591,10000,6266025,20365,54494,769,8062,1619,45484,55263,6292977,6231127,10617,112933,67,144
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.6993,10000,6278164,21771,66633,2175,9225,1953,23086,68808,6308102,6231123,10685,114675,81,149
fossil_thread,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.4797,10000,6242426,20388,30895,792,6169,862,14300,31687,6269843,6231123,10531,110020,55,156
