branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.525,16384,8520637,0,218,0,41,1,180,218,8520644,8520419,16388,42,0,1090
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.355,16384,8520905,0,486,0,47,5,209,486,8520928,8520419,16390,50,0,889
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.821,16384,8520952,0,533,0,49,5,311,533,8520970,8520419,16392,51,2,948
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.386,16384,8520433,0,14,0,7,0,27,14,8520433,8520419,16384,8,0,906
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,150.987,16384,8521118,0,699,0,75,3,330,699,8521094,8520419,16388,80,0,816
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.503,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,551
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,111.717,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,532
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,111.296,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,531
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.357,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,575
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.213,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,535
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,147.79,16384,8520724,0,305,0,44,1,194,305,8520734,8520419,16388,41,0,995
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.183,16384,8520644,0,225,0,52,0,275,225,8520656,8520419,16389,54,0,987
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,148.206,16384,8520454,0,35,0,12,0,60,35,8520457,8520419,16385,15,0,1046
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,147.999,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,839
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.375,16384,8520458,0,39,0,14,0,52,39,8520463,8520419,16386,14,0,1042
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.747,16384,8520421,0,2,0,2,0,20,2,8520421,8520419,16384,6,0,561
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.513,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,509
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,115.391,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,564
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,111.678,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,553
fossil_thread,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,111.842,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,574
