branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.0677,10000,5900473,0,54626,0,14332,5231,43395,54626,5907699,5845847,10972,251855,12,253
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.2926,10000,5928327,0,82480,0,17456,8408,57020,82480,5936071,5845847,10993,259877,8,257
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.3236,10000,5897580,0,51733,0,14034,4742,41558,51733,5900745,5845847,10802,251282,9,256
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.3235,10000,5904918,0,59071,0,15144,5845,46730,59071,5912416,5845847,11016,253555,14,255
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.5617,10000,5889806,0,43959,0,12222,4303,36248,43959,5899889,5845847,10975,246502,3,252
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.4213,10000,5868560,0,22713,0,8276,1625,38817,22713,5872727,5845847,10836,239278,11,229
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.935,10000,5893849,0,48002,0,12733,4665,71575,48002,5898302,5845847,10842,248741,4,221
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.6602,10000,5883232,0,37385,0,11934,3732,62478,37385,5893778,5845847,11073,247082,6,232
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.5857,10000,5882542,0,36695,0,11000,2974,57122,36695,5884368,5845847,10715,245348,5,237
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,11.3554,10000,5883810,0,37963,0,12716,3299,64365,37963,5893408,5845847,11057,246807,0,235
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,11.1373,10000,5891119,0,45272,0,14458,4571,99527,45272,5905468,5845847,11807,249937,6,248
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,10.9366,10000,5885164,0,39317,0,11778,4274,85286,39317,5901486,5845847,11114,245385,5,244
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,10.4504,10000,5899978,0,54131,0,14940,4584,101717,54131,5907473,5845847,10961,251836,6,261
