branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.6663,10000,6245356,0,14229,0,2883,315,6380,14229,6247467,6231127,10306,105962,2,274
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,13.1538,10000,6254682,0,23555,0,3688,665,8893,23555,6258303,6231127,10376,107194,4,261
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.6101,10000,6249062,0,17935,0,3145,427,7435,17935,6251105,6231127,10303,106413,4,267
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.9236,10000,6261351,0,30224,0,4307,849,10583,30224,6264846,6231127,10378,108137,0,264
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.6879,10000,6247568,0,16441,0,2986,415,6870,16441,6249980,6231127,10327,106217,1,265
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.4272,10000,6255300,0,24173,0,3886,624,15685,24173,6257975,6231127,10345,107402,3,232
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.2568,10000,6259137,0,28010,0,4287,809,18034,28010,6263246,6231127,10431,108013,4,229
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.3886,10000,6250178,0,19051,0,3244,473,13683,19051,6252860,6231127,10338,106563,0,228
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.4271,10000,6248424,0,17297,0,3065,442,12739,17297,6251082,6231127,10343,106265,3,226
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.3949,10000,6244089,0,12962,0,2780,345,11260,12962,6247175,6231127,10386,105789,0,227
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.2954,10000,6245995,0,14868,0,3054,319,15857,14868,6247662,6231127,10224,106227,0,246
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.3087,10000,6246815,0,15688,0,2996,364,16010,15688,6249111,6231127,10263,106192,0,250
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.3359,10000,6249767,0,18640,0,3252,455,17468,18640,6251980,6231127,10275,106554,2,251
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.5869,10000,6256734,0,25607,0,4090,752,23130,25607,6261120,6231127,10467,107722,3,257
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.2704,10000,6247454,0,16327,0,3164,369,16493,16327,6249824,6231127,10230,106416,0,248
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.7236,10000,6246982,0,15855,0,3095,370,7166,15855,6249463,6231127,10332,106204,1,268
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,13.0714,10000,6249882,0,18755,0,3609,477,8340,18755,6252919,6231127,10351,106902,1,270
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.7114,10000,6246557,0,15430,0,3086,387,7058,15430,6248990,6231127,10315,106274,5,269
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.7327,10000,6238913,0,7786,0,1828,181,4106,7786,6240554,6231127,10262,104738,0,258
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.932,10000,6255490,0,24363,0,4062,665,9650,24363,6258529,6231127,10357,107586,0,266
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.6457,10000,6259235,0,28108,0,3958,800,17592,28108,6262674,6231127,10352,107759,4,235
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.3314,10000,6247789,0,16662,0,3060,383,12426,16662,6249805,6231127,10271,106264,2,229
fossil_thread,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.3423,10000,6253876,0,22749,0,3648,568,15468,22749,6256491,6231127,10289,107094,0,229
