branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,186.981,16384,8520560,252,387,6,70,3,249,393,8520803,8520419,16386,78,0,366
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,184.834,16384,8520207,247,34,1,11,0,38,35,8520457,8520419,16384,20,0,199
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,186.957,16384,8520205,247,32,1,19,0,55,33,8520447,8520419,16384,31,0,288
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,186.389,16384,8520316,246,143,0,35,2,129,143,8520566,8520419,16386,44,0,275
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,186.081,16384,8520302,246,129,0,39,1,140,129,8520547,8520419,16386,47,2,350
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,171.625,16384,8520177,247,4,1,2,0,14,5,8520423,8520419,16384,4,0,232
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,171.137,16384,8520195,247,22,1,12,0,51,23,8520438,8520419,16384,23,0,259
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,172.258,16384,8520331,249,158,3,40,0,165,161,8520576,8520419,16385,48,0,151
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,172.025,16384,8520269,246,96,0,33,0,162,96,8520514,8520419,16385,38,0,266
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,170.587,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,905
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,191.144,16384,8520267,248,94,2,34,0,104,96,8520512,8520419,16385,0,0,712
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,192.238,16384,8520228,247,55,1,19,0,58,56,8520474,8520419,16385,0,0,757
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,191.237,16384,8520205,246,32,0,22,0,68,32,8520451,8520419,16384,0,0,724
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,191.499,16384,8520194,247,21,1,10,0,21,22,8520440,8520419,16384,0,0,829
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,176.812,16384,8520205,246,32,0,19,0,90,32,8520451,8520419,16384,0,0,694
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,176.698,16384,8520184,247,11,1,5,0,25,12,8520429,8520419,16384,0,0,688
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,176.184,16384,8520183,246,10,0,5,0,22,10,8520427,8520419,16384,0,0,564
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,176.386,16384,8520198,247,25,1,12,0,71,26,8520448,8520419,16384,0,0,526
UnifiedMainBranch,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,177.342,16384,8520178,246,5,0,3,0,6,5,8520423,8520419,16384,0,0,640
