branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.6749,10000,6254971,20706,43442,1110,7068,1494,17463,44552,6286503,6231120,10801,111616,55,151
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.7574,10000,6252343,21096,40813,1500,7323,1106,17255,42313,6279051,6231123,10505,111420,66,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.498,10000,6244371,20401,32840,805,6640,709,15099,33645,6267269,6231123,10315,110376,60,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.5127,10000,6248117,21963,36586,2367,6464,1040,15331,38953,6274940,6231125,10465,110485,44,149
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.3354,10000,6238777,20022,27246,426,5538,763,12645,27672,6263905,6231127,10490,109292,55,142
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.8753,10000,6272821,20226,61290,630,8977,1647,38392,61919,6297296,6231125,10470,114064,54,150
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,14.3916,10000,6249676,19951,38145,355,6646,1073,27920,38500,6276243,6231127,10665,110656,47,146
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.5238,10000,6225453,20402,13922,806,3672,282,14214,14728,6246352,6231124,10210,106855,71,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.6501,10000,6224435,20026,12904,430,3799,277,14437,13334,6246650,6231127,10311,107003,27,146
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.994,10000,6250923,20137,39392,541,6592,1048,27651,39933,6275974,6231127,10500,110622,68,151
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,13.7844,10000,6263803,22851,52272,3255,7722,1489,42966,55526,6289867,6231119,10373,112572,74,157
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,13.6851,10000,6240869,19910,29338,314,5777,763,30823,29652,6266044,6231126,10686,109290,70,140
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,13.8661,10000,6240674,19964,29143,368,5733,793,30012,29511,6264873,6231124,10488,109513,45,144
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,13.6354,10000,6232595,20200,21065,604,4836,510,24703,21669,6255251,6231122,10308,108182,96,141
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,10,13.6532,10000,6237688,20499,26157,903,5257,627,27945,27060,6260993,6231126,10349,108841,61,145
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,34.7264,10000,9427603,43655,3216072,24059,144241,395386,1088807,3240129,9505106,6231130,12266,0,0,577
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,35.3984,10000,9588549,46731,3377018,27135,147820,414217,1134508,3404153,9670905,6231127,11706,0,0,592
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,34.9714,10000,9395251,43507,3183720,23911,143411,390947,1077558,3207631,9463402,6231127,11553,0,0,585
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,34.5963,10000,9272297,42982,3060775,23387,140988,378039,1047249,3084158,9344281,6231115,11688,0,0,567
UnifiedMainBranch,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,33.5293,10000,9173953,40728,2962422,21132,138000,368459,1019224,2983554,9242428,6231127,11872,0,0,560
