branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,5,192.285,16384,8520935,0,516,0,59,6,112,516,8520959,8520419,16390,62,1,1017
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,5,192.391,16384,8520963,0,544,0,62,2,120,544,8520948,8520419,16388,72,0,1242
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,162.907,16384,8520497,0,78,0,27,0,84,78,8520501,8520419,16385,29,0,1132
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,159.755,16384,8520476,0,57,0,18,0,57,57,8520477,8520419,16386,20,0,1094
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,162.399,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,868
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,162.83,16384,8520434,0,15,0,8,0,39,15,8520438,8520419,16386,8,0,964
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,160.845,16384,8520490,0,71,0,24,0,80,71,8520499,8520419,16386,28,0,1181
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,151.772,16384,8520678,0,259,0,35,1,144,259,8520684,8520419,16388,41,2,1189
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,150.338,16384,8520814,0,395,0,50,2,212,395,8520833,8520419,16390,52,2,1055
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,147.852,16384,8520420,0,1,0,1,0,6,1,8520420,8520419,16384,3,0,888
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,149.344,16384,8520558,0,139,0,38,0,184,139,8520550,8520419,16385,46,0,1233
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,152.208,16384,8521000,0,581,0,68,6,336,581,8521012,8520419,16392,75,2,947
