branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,5,25.6647,10000,12449404,0,79498,0,10140,2178,25282,79498,12451971,12369906,10310,194541,10,231
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,5,26.2835,10000,12444954,0,75048,0,9433,2065,23457,75048,12448286,12369906,10271,193674,5,230
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,5,25.5736,10000,12447700,0,77794,0,9929,2185,24891,77794,12451239,12369906,10382,194264,2,232
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,5,25.9117,10000,12500225,0,130319,0,13336,3877,35675,130319,12505333,12369906,10447,200372,3,240
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,5,25.8861,10000,12447362,0,77456,0,9586,2160,24306,77456,12451017,12369906,10373,193971,4,227
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,8,24.8803,10000,12435704,0,65798,0,8844,1693,38743,65798,12436571,12369906,10218,192580,3,211
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,8,25.6838,10000,12442457,0,72551,0,9021,2116,40651,72551,12447141,12369906,10363,193199,5,212
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,8,24.5824,10000,12449952,0,80046,0,9922,2221,44360,80046,12453429,12369906,10363,194356,1,212
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,8,25.4129,10000,12457473,0,87567,0,10585,2480,47918,87567,12460531,12369906,10307,195525,6,216
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,8,25.0566,10000,12455402,0,85496,0,10431,2400,46452,85496,12459420,12369906,10414,195088,3,214
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,10,24.9106,10000,12441034,0,71128,0,9104,2016,53655,71128,12445702,12369906,10456,193198,7,218
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,10,24.8907,10000,12437646,0,67740,0,9381,1824,53133,67740,12441423,12369906,10389,193147,11,221
master,traffic,"./traffic_sim",20000,3,multiset,3,,asynchronous,10,24.4575,10000,12433296,0,63390,0,9082,1668,50735,63390,12436627,12369906,10356,192643,0,220
