branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,185.721,16384,8520203,246,30,0,14,0,45,30,8520450,8520419,16385,27,0,218
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,185.464,16384,8520178,246,5,0,3,0,12,5,8520425,8520419,16384,7,0,162
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,185.436,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,0,0,211
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,187.068,16384,8520272,248,99,2,34,0,140,101,8520527,8520419,16386,44,0,297
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,8,185.69,16384,8520173,246,0,0,0,0,0,0,8520419,8520419,16384,4,0,195
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,4,multiset,4,,asynchronous,8,172.872,16384,8520217,246,44,0,15,0,46,44,8520461,8520419,16384,21,0,343
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,4,multiset,4,,asynchronous,8,172.151,16384,8520175,246,2,0,3,0,12,2,8520422,8520419,16384,11,0,237
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,4,multiset,4,,asynchronous,8,173.448,16384,8520312,246,139,0,34,1,117,139,8520554,8520419,16385,50,0,247
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,4,multiset,4,,asynchronous,8,173.152,16384,8520175,246,2,0,2,0,5,2,8520421,8520419,16384,5,0,260
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat",20000,4,multiset,4,,asynchronous,8,180.848,16384,8520792,272,619,26,68,8,268,645,8521076,8520419,16390,81,0,226
