branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,52.626,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1212
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,54.1683,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1112
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,52.3286,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1180
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,52.2635,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1224
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,52.6183,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1092
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,5,54.1746,16384,2529370,0,176,0,21,3,51,176,2529380,2529194,16388,21,0,1108
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,5,54.8191,16384,2529581,0,387,0,29,8,92,387,2529618,2529194,16396,27,0,1016
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,5,54.5944,16384,2529441,0,247,0,20,5,33,247,2529448,2529194,16388,26,0,1062
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,5,55.1835,16384,2529886,0,692,0,52,20,133,692,2529964,2529194,16404,53,0,1113
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,5,50.8677,16384,2529575,0,381,0,33,7,89,381,2529597,2529194,16392,33,0,892
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,5,39.3351,16384,2529509,0,315,0,38,2,87,315,2529499,2529194,16387,41,0,802
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,5,38.3576,16384,2529503,0,309,0,33,2,63,309,2529493,2529194,16385,36,0,903
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,5,39.6283,16384,2529571,0,377,0,31,4,73,377,2529580,2529194,16389,32,0,1034
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,5,37.3106,16384,2529535,0,341,0,41,3,115,341,2529549,2529194,16394,37,0,844
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,5,38.8777,16384,2529230,0,36,0,12,0,25,36,2529229,2529194,16384,18,0,774
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.531,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,858
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.7332,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,835
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.367,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,820
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.5377,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,828
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.6782,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,827
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,8,44.5157,16384,2529761,0,567,0,36,15,210,567,2529802,2529194,16400,36,0,1059
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,8,40.2594,16384,2529447,0,253,0,32,1,144,253,2529451,2529194,16387,33,0,1007
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,8,42.2191,16384,2529469,0,275,0,19,7,84,275,2529484,2529194,16391,22,0,1043
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,8,43.4429,16384,2529520,0,326,0,23,7,98,326,2529534,2529194,16391,23,0,1181
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,4,multiset,4,,asynchronous,8,44.3173,16384,2529526,0,332,0,31,5,135,332,2529546,2529194,16392,28,0,1218
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,8,30.3041,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,1,0,1338
