branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.174,10000,5882783,0,36936,0,12472,3351,34252,36936,5892892,5845847,11017,247368,10,256
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.015,10000,5910642,0,64795,0,15337,6187,48236,64795,5916393,5845847,10786,255640,2,255
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.3814,10000,5899989,0,54142,0,14777,4717,43137,54142,5905323,5845847,10863,252034,13,250
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.1869,10000,5908021,0,62174,0,16091,5886,48629,62174,5914806,5845847,10988,254837,18,254
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.3422,10000,5898948,0,53101,0,14878,4489,42997,53101,5903695,5845847,10867,251637,3,260
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,5,11.2759,10000,6519414,0,673567,0,60430,62504,275055,673567,6581577,5845847,11169,387582,52,289
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,5,13.7777,10000,7389985,0,1544138,0,122667,140016,588306,1544138,7612059,5845847,16938,574520,72,319
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,5,11.3211,10000,6463807,0,617960,0,64801,59996,279255,617960,6519176,5845847,13015,383541,44,289
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,5,11.5996,10000,6464872,0,619025,0,58590,57680,260894,619025,6526845,5845847,12298,377355,74,277
master,pcs,"./pcs_sim",500,4,multiset,4,,asynchronous,5,12.4159,10000,6964245,0,1118398,0,91518,96422,415916,1118398,7096198,5845847,14342,469123,43,312
