branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,60.5432,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,291
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,60.3962,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,294
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,60.7328,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,285
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,61.1386,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,284
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,60.4254,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,329
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,49.7227,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,444
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,49.2963,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,371
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,49.3003,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,339
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,49.1929,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,225
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,49.6115,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,432
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,45.4984,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,399
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,45.0399,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,645
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,45.5999,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,682
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,45.3808,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,525
master,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,45.8502,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,504
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,61.7101,16384,2529143,55,4,0,6,0,8,4,2529200,2529194,16384,0,5,370
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,62.1126,16384,2529144,55,5,0,7,0,8,5,2529201,2529194,16384,1,5,365
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,61.7847,16384,2529143,55,4,0,6,0,8,4,2529200,2529194,16384,0,5,272
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,61.2253,16384,2529143,55,4,0,6,0,8,4,2529200,2529194,16384,0,5,289
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,62.2952,16384,2529143,55,4,0,6,0,8,4,2529200,2529194,16384,0,5,358
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,50.2324,16384,2529143,55,4,0,6,0,12,4,2529200,2529194,16384,0,5,377
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,50.3615,16384,2529143,55,4,0,6,0,12,4,2529200,2529194,16384,0,5,410
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,50.3959,16384,2529143,55,4,0,6,0,12,4,2529200,2529194,16384,0,5,435
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,50.357,16384,2529143,55,4,0,6,0,12,4,2529200,2529194,16384,0,5,385
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,50.6345,16384,2529143,55,4,0,6,0,12,4,2529200,2529194,16384,0,5,346
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,46.515,16384,2529143,55,4,0,6,0,28,4,2529200,2529194,16384,0,5,513
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,46.1484,16384,2529143,55,4,0,6,0,28,4,2529200,2529194,16384,0,5,547
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,46.764,16384,2529143,55,4,0,6,0,28,4,2529200,2529194,16384,0,5,423
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,46.1562,16384,2529143,55,4,0,6,0,28,4,2529200,2529194,16384,1,5,412
HashingPOC,epidemic,"mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,10,46.2182,16384,2529143,55,4,0,6,0,28,4,2529200,2529194,16384,0,5,436
