branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,13.4891,10000,5902213,33799,87977,2188,25058,8877,72887,90165,5969809,5845843,11593,271118,75,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,13.6084,10000,5900887,35889,86651,4278,24885,8718,72775,90929,5956600,5845845,11599,270200,103,144
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,13.8179,10000,5932868,35769,118632,4158,29741,12670,91710,122789,6002378,5845846,11902,281753,104,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,13.6092,10000,5900834,36197,86598,4586,23911,8551,70094,91184,5954419,5845846,11465,268319,92,141
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,5,14.1091,10000,5954936,38058,140700,6447,34264,13753,103674,147147,6015731,5845847,11604,286938,137,140
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.3673,10000,5893278,34801,79042,3190,24037,7579,123346,82232,5949558,5845841,11761,266820,57,134
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.1532,10000,5887128,34980,72892,3369,22804,7079,117000,76261,5939130,5845841,11327,266755,80,138
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.0751,10000,5935344,37885,121108,6274,30455,11634,168837,127382,5985803,5845847,11284,281206,85,147
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.1008,10000,5893046,32924,78810,1313,22663,9411,125675,80123,5964807,5845847,11799,269154,61,136
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,8,13.5018,10000,5945874,38305,131638,6694,33185,13149,184411,138332,6011809,5845842,11900,285760,72,133
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,13.5064,10000,5962424,38551,148188,6940,35377,15069,267314,155128,6028544,5845845,11770,290917,85,133
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,12.8885,10000,5863067,34684,48831,3073,17874,4465,112613,51903,5908373,5845845,11412,256624,76,135
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,13.0948,10000,5898370,36603,84134,4992,24432,8757,173925,89126,5952813,5845847,11647,270134,71,136
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,13.1031,10000,5906313,36308,92077,4697,26573,9084,185033,96774,5975197,5845847,11830,272215,115,133
master,pcs,"mpirun-np2-hostolaf,honi./pcs_sim",500,3,multiset,3,,asynchronous,10,12.995,10000,5908467,36621,94231,5010,27276,9427,185817,99241,5977939,5845847,11640,273743,68,128
