branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.7213,10000,6271418,20888,59887,1292,9568,1587,22836,61179,6298735,6231126,10594,114370,64,158
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.5925,10000,6243625,20473,32094,877,6543,844,14973,32970,6269251,6231127,10471,110397,72,144
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.1762,10000,6225834,19828,14303,232,4001,300,8656,14535,6247856,6231127,10339,107140,66,152
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.3042,10000,6241829,19995,30298,399,5880,813,13749,30697,6267135,6231126,10442,109867,52,147
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,5,14.6829,10000,6250302,19993,38771,397,6633,998,15514,39168,6275284,6231127,10433,110810,63,148
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.8708,10000,6237327,20404,25796,808,5298,760,21910,26603,6262979,6231125,10565,108933,51,137
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.6537,10000,6235758,21239,24227,1643,5697,552,22958,25870,6259672,6231124,10336,109142,67,140
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.8729,10000,6243723,21668,32193,2072,5694,843,23753,34264,6267600,6231120,10313,109701,58,145
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.9729,10000,6251371,21565,39840,1969,7137,1119,30358,41809,6278685,6231127,10570,111251,67,140
master,traffic,"mpirun-np2-hostolaf,honi./traffic_sim",10000,3,multiset,3,,asynchronous,8,13.9423,10000,6249246,20568,37715,972,7272,1008,29889,38687,6275930,6231125,10565,111206,82,145
