branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,54.6271,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1238
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,52.0943,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1053
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,54.3092,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1141
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,52.1525,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1108
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,5,54.1937,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,1159
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,43.2076,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,858
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.6813,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,817
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.528,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,835
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,44.3517,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,811
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,8,43.168,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,809
