branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.0123,10000,5892335,0,46488,0,13116,4305,37849,46488,5902014,5845847,10987,249050,2,251
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.4813,10000,5919190,0,73343,0,16836,7431,54006,73343,5927973,5845847,11019,257462,13,258
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.1058,10000,5878157,0,32310,0,10107,2918,29302,32310,5887907,5845847,11004,242045,2,248
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.2043,10000,5882163,0,36316,0,12011,2556,31442,36316,5886028,5845847,10814,245709,11,256
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,11.3483,10000,5915234,0,69387,0,16613,6654,52001,69387,5922322,5845847,10946,256897,8,257
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.9661,10000,5896866,0,51019,0,13989,4669,74218,51019,5907786,5845847,11129,249503,2,227
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.9017,10000,5883398,0,37551,0,12050,3103,60343,37551,5887788,5845847,10730,246173,10,222
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.3751,10000,5879733,0,33886,0,11442,2639,56076,33886,5883634,5845847,10841,244587,5,231
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.8774,10000,5870000,0,24153,0,9383,1535,43285,24153,5873297,5845847,10812,241240,10,228
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,10.6328,10000,5879922,0,34075,0,11309,2509,54114,34075,5883497,5845847,10791,245567,1,231
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,10.7002,10000,5909564,0,63717,0,15795,6220,116687,63717,5916261,5845847,10951,255470,13,259
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,10.9728,10000,5883504,0,37657,0,12348,3345,80791,37657,5890667,5845847,10968,247382,10,245
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,10.4664,10000,5876644,0,30797,0,9124,2497,61911,30797,5877586,5845847,10691,243133,4,269
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,11.0999,10000,5894451,0,48604,0,12932,4442,93716,48604,5897041,5845847,10646,250277,6,252
master,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,11.1361,10000,5910980,0,65133,0,15921,6787,120333,65133,5926772,5845847,11290,255052,11,255
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,14.0162,10000,6403313,0,557466,0,443461,6126,988351,557466,6439204,5845847,10751,245404,923986,243
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,13.9353,10000,6396351,0,550504,0,442312,5059,982796,550504,6433017,5845847,10622,243405,922714,243
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,13.9109,10000,6397759,0,551912,0,442212,5503,983277,551912,6433281,5845847,10724,243309,921833,253
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,13.9566,10000,6387075,0,541228,0,439903,3962,973493,541228,6420945,5845847,10648,238036,921087,241
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,5,13.9077,10000,6397565,0,551718,0,442247,5405,982712,551718,6433273,5845847,10827,242584,922666,244
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,14.0447,10000,6400746,0,554899,0,443004,6339,1750930,554899,6444278,5845847,11367,244084,922835,260
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,13.6291,10000,6390988,0,545141,0,440557,4658,1734295,545141,6426805,5845847,10790,239927,921074,266
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,13.714,10000,6388651,0,542804,0,440903,5026,1736081,542804,6431930,5845847,11114,240770,920612,260
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,14.0261,10000,6388134,0,542287,0,440479,3953,1731664,542287,6423277,5845847,10778,238743,921644,257
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,8,13.9518,10000,6381929,0,536082,0,438818,3451,1720925,536082,6415003,5845847,10653,236967,919801,260
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,14.0486,10000,6396421,0,550574,0,441893,5752,2240600,550574,6432934,5845847,11154,242324,921926,258
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,13.753,10000,6386594,0,540747,0,439801,4030,2219849,540747,6420430,5845847,10744,239728,920708,268
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,13.9186,10000,6386147,0,540300,0,440013,4248,2221313,540300,6423421,5845847,10816,238315,920851,258
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,13.6953,10000,6393075,0,547228,0,441903,6058,2243740,547228,6440136,5845847,11166,242837,920780,265
HashingPOC,pcs,"./pcs_sim",500,3,multiset,3,,asynchronous,10,14.0117,10000,6386759,0,540912,0,440315,3839,2219301,540912,6421747,5845847,10768,239990,920915,266
