branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.6516,10000,6253393,0,22266,0,3693,607,8692,22266,6256630,6231127,10363,107191,0,265
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,13.1134,10000,6247914,0,16787,0,3137,449,7339,16787,6251332,6231127,10397,106382,0,264
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,13.1878,10000,6242248,0,11121,0,2244,291,5141,11121,6244461,6231127,10304,105281,0,257
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.6856,10000,6247891,0,16764,0,3302,451,7698,16764,6251614,6231127,10410,106463,2,269
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.6202,10000,6249793,0,18666,0,3293,458,7781,18666,6252491,6231127,10336,106584,0,266
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.3904,10000,6256387,0,25260,0,3904,663,16858,25260,6259385,6231127,10355,107378,2,226
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.4886,10000,6246983,0,15856,0,3123,368,12748,15856,6249367,6231127,10327,106349,0,231
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.5873,10000,6254212,0,23085,0,3878,650,16311,23085,6258529,6231127,10472,107292,2,234
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.4124,10000,6250009,0,18882,0,3459,447,13893,18882,6252584,6231127,10330,106754,2,229
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.3071,10000,6251160,0,20033,0,3541,484,14596,20033,6253857,6231127,10273,106936,4,236
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.4386,10000,6253070,0,21943,0,4083,539,21739,21943,6256085,6231127,10355,107461,0,258
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.199,10000,6246822,0,15695,0,3039,350,15816,15695,6248651,6231127,10295,106169,0,249
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.1378,10000,6243387,0,12260,0,2785,257,14496,12260,6245203,6231127,10276,105748,2,247
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.4079,10000,6257969,0,26842,0,4247,731,23529,26842,6261157,6231127,10344,107902,3,250
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.2613,10000,6246005,0,14878,0,3072,305,15817,14878,6247590,6231127,10242,106189,0,257
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.9198,10000,6247907,0,16780,0,3096,464,7374,16780,6251183,6231127,10376,106283,81,263
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,13.0955,10000,6254560,0,23433,0,3793,691,9037,23433,6258095,6231127,10368,107332,83,263
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.6179,10000,6246887,0,15760,0,3114,380,7135,15760,6249253,6231127,10294,106248,81,265
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.7443,10000,6247908,0,16781,0,3301,420,7584,16781,6250686,6231127,10351,106506,82,268
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,5,12.5622,10000,6243996,0,12869,0,2857,289,6298,12869,6245564,6231127,10273,105870,82,260
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.2688,10000,6249989,0,18862,0,3441,459,13873,18862,6252369,6231127,10265,106727,87,230
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.4678,10000,6251115,0,19988,0,3342,517,14020,19988,6253119,6231127,10294,106644,82,238
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.1778,10000,6249256,0,18129,0,3319,482,13911,18129,6252285,6231127,10354,106566,83,228
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.2485,10000,6254290,0,23163,0,3827,619,15919,23163,6257593,6231127,10347,107280,83,231
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,8,12.3426,10000,6250732,0,19605,0,3449,503,14450,19605,6253834,6231127,10340,106730,81,235
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.3018,10000,6255988,0,24861,0,4013,643,21972,24861,6259132,6231127,10349,107445,82,254
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.2843,10000,6256184,0,25057,0,4234,715,23543,25057,6259994,6231127,10376,107757,83,254
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.4949,10000,6248019,0,16892,0,3281,450,17655,16892,6251427,6231127,10414,106416,84,246
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.5067,10000,6260343,0,29216,0,4567,768,25358,29216,6263694,6231127,10409,108144,90,251
HashingPOC,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,10,12.2271,10000,6244445,0,13318,0,2900,306,15133,13318,6246646,6231127,10265,105989,84,242
